id,popularity,release_date,hitmiss_spotify,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,chart_scraped,peak_position,weeks_on_chart,hitmiss_billboard
2cbk1iymUvgSSyad62RRSh,41,24/3/2015,0,172.29333,-4.289,96.032,0.5,4.0,0.941,8.0,0.163,1.0,0.278,0.154,0.765,0.674,0.0,0.153,0.0581,0.675,NaN,NaN,NaN,0
0Q7q4R43TMx0SGQoe7dHpJ,49,16/1/2015,0,213.10667,-8.176,122.146,0.31,4.0,0.983,2.0,0.6659999999999999,1.0,0.706,0.405,0.46,0.393,4.97e-06,0.107,0.0272,0.08900000000000001,NaN,NaN,NaN,0
0dFf2G2Q5SdYbvcLDK58EB,42,23/10/2015,0,283.50975,-16.812,105.426,0.607,4.0,0.989,7.0,0.784,1.0,0.633,0.94,0.507,0.0694,0.00112,0.111,0.0335,0.08900000000000001,NaN,NaN,NaN,0
2iOxbdtDg8zFpZNRcz6Big,46,3/4/2015,0,212.95107,-3.921,127.044,0.906,4.0,1.0,1.0,0.955,1.0,0.667,0.00378,0.698,0.906,2.7300000000000006e-05,0.234,0.0471,0.964,NaN,NaN,NaN,0
39aN7XSAw1JpupYNdvkfuj,49,1/6/2015,0,288.14073,-10.288,124.624,0.523,4.0,0.103,7.0,0.78,1.0,0.762,0.904,0.423,0.268,0.0254,0.157,0.0315,0.17800000000000002,NaN,NaN,NaN,0
4Fqf6sRaSGQppXHwO0gZs3,50,29/6/2015,0,191.50612,-4.0539999999999985,121.339,0.224,4.0,0.682,4.0,0.6459999999999999,0.0,0.586,0.0592,0.359,0.912,0.0,0.853,0.4320000000000001,0.365,NaN,NaN,NaN,0
1rO8SV0CvDFyvYhPF35IUE,49,4/9/2015,0,274.12,-4.546,147.05700000000004,0.412,4.0,1.0,6.0,0.711,0.0,0.664,0.00183,0.479,0.904,1.5e-05,0.221,0.0822,0.231,NaN,NaN,NaN,0
550Wn0mCBgXSnTNouQA2fY,55,16/6/2015,0,219.96,-11.422,104.371,0.006999999999999999,4.0,0.841,2.0,0.615,1.0,0.652,0.899,0.7120000000000001,0.102,0.0,0.121,0.0522,0.38,NaN,NaN,NaN,0
0Ca0ZihuLlTJjRiW8BLktL,44,15/3/2015,0,197.06776,-12.057,94.931,0.4,4.0,1.0,7.0,0.74,1.0,0.693,0.498,0.769,0.38,0.0,0.114,0.49,0.181,NaN,NaN,NaN,0
3TgUmYALtbV9LpLj7KQMLi,42,21/8/2015,0,153.03982,-4.42,87.958,0.157,4.0,0.823,11.0,0.5479999999999999,1.0,0.365,0.0429,0.667,0.725,0.0,0.106,0.337,0.141,NaN,NaN,NaN,0
