id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
3KkXRkHbMCARz0aVfEt68P,97.0,2018-12-14,1,158.04,-5.574,89.911,0.16899999999999998,4.0,1.0,2.0,0.29600000000000004,1.0,0.484,0.556,0.76,0.479,0.0,0.0703,0.0466,0.913
6MWtB6iiXyIwun0YzU6DFP,97.0,2018-12-24,1,149.52,-7.399,99.947,0.272,4.0,1.0,11.0,0.483,0.0,0.508,0.163,0.833,0.539,2.1000000000000002e-06,0.101,0.17800000000000002,0.385
1wJRveJZLSb1rjhnUHQiv6,93.0,2018-12-21,1,189.48658,-5.239,93.023,0.031,4.0,0.989,9.0,0.096,1.0,0.258,0.0153,0.581,0.662,0.0,0.111,0.303,0.434
2IRZnDFmlqMuOrYOLnZZyc,93.0,2018-11-30,1,180.52204,-6.365,86.00299999999999,0.056,4.0,0.947,4.0,0.54,0.0,0.523,0.259,0.889,0.496,0.0,0.252,0.0905,0.544
7eBqSVxrzQZtK2mmgRG6lC,92.0,2018-08-03,1,268.43429,-7.985,115.007,0.44,4.0,0.6759999999999999,0.0,0.565,0.0,0.7509999999999999,0.145,0.759,0.73,3.06e-06,0.11,0.0516,0.74
78QR3Wp35dqAhFEc2qAGjE,89.0,2018-10-05,1,145.54254,-6.977,112.502,0.7559999999999999,4.0,1.0,1.0,0.276,0.0,0.47,0.103,0.8959999999999999,0.6709999999999999,0.0,0.552,0.289,0.358
2t8yVaLvJ0RenpXUIAC52d,89.0,2018-12-21,1,288.62417,-7.643,145.972,0.459,4.0,0.952,1.0,0.21,1.0,0.409,0.0395,0.8370000000000001,0.636,0.00125,0.342,0.086,0.274
2xLMifQCjDGFmkHkpNLD9h,91.0,2018-08-03,1,312.82041,-3.714,155.00799999999995,0.256,4.0,0.932,8.0,0.411,1.0,0.476,0.00513,0.8340000000000001,0.73,0.0,0.124,0.222,0.446
5p7ujcrUXASCNwRaWNHR1C,94.0,2018-10-04,1,201.66068,-7.05,136.041,0.726,4.0,1.0,6.0,0.562,1.0,0.585,0.297,0.752,0.488,9.11e-06,0.0936,0.0705,0.5329999999999999
3oh6SCCeLuXhFpEyepla6G,90.0,2018-12-18,1,129.26404,-12.89,104.025,0.725,4.0,1.0,10.0,0.202,0.0,0.59,0.18,0.906,0.382,0.0,0.113,0.269,0.391
2dpaYNEQHiRxtZbfNsse99,95.0,2018-08-17,1,214.28957000000003,-2.749,100.015,0.265,4.0,0.986,5.0,0.5670000000000001,1.0,0.5870000000000001,0.191,0.687,0.792,0.0,0.16699999999999998,0.0452,0.6709999999999999
05t7JMip6JrLuSrMV5yYjX,87.0,2018-12-13,1,120.13651000000002,-7.6629999999999985,149.025,0.212,4.0,1.0,11.0,0.0,1.0,0.209,0.282,0.556,0.481,0.0,0.21600000000000005,0.313,0.581
1ThmUihH9dF8EV08ku5AXN,88.0,2018-11-30,1,145.62667,-9.373,99.993,0.23,4.0,1.0,10.0,0.355,0.0,0.387,0.111,0.935,0.552,0.0,0.0952,0.335,0.615
0u2P5u6lvoDfwTYjAADbn4,92.0,2018-04-19,1,200.18571,-10.109,115.284,0.152,4.0,0.7709999999999999,4.0,0.498,0.0,0.5920000000000001,0.934,0.35100000000000003,0.29600000000000004,0.0,0.095,0.0333,0.12
285pBltuF7vW8TeWk8hdRR,90.0,2018-12-10,1,239.83578,-7.23,83.90299999999998,0.127,4.0,1.0,6.0,0.161,0.0,0.388,0.349,0.511,0.5660000000000001,0.0,0.34,0.2,0.218
6zeeWid2sgw4lap2jV61PZ,87.0,2018-10-18,1,229.32,-10.278,97.949,0.731,4.0,0.984,0.0,0.792,0.0,0.768,0.0765,0.596,0.552,0.334,0.104,0.097,0.112
1xzBco0xcoJEDXktl7Jxrr,89.0,2018-10-05,1,183.90667,-5.266,146.034,0.944,4.0,1.0,4.0,0.379,1.0,0.35200000000000004,0.194,0.7290000000000001,0.625,0.00986,0.248,0.0315,0.261
0FZ4Dmg8jJJAPJnvBIzD9z,89.0,2018-12-14,1,228.75955,-5.7879999999999985,98.043,0.526,4.0,1.0,8.0,0.851,0.0,0.7140000000000001,0.0521,0.861,0.603,0.0,0.0924,0.17600000000000002,0.504
7dt6x5M1jzdTEt8oCbisTK,91.0,2018-04-27,1,231.26667,-5.8039999999999985,145.03799999999995,0.484,4.0,0.994,10.0,0.652,1.0,0.416,0.354,0.68,0.563,0.0,0.136,0.0454,0.374
2qxmye6gAegTMjLKEBoR3d,93.0,2018-11-16,1,169.35383000000004,-5.714,150.07299999999995,0.445,4.0,0.983,1.0,0.807,0.0,0.726,0.74,0.652,0.557,0.0,0.124,0.0318,0.483
3ee8Jmje8o58CHK66QrVC2,90.0,2018-03-16,1,166.60553000000004,-4.88,75.023,0.023,4.0,1.0,8.0,0.374,1.0,0.419,0.258,0.74,0.613,0.00372,0.123,0.145,0.473
3Ol2xnObFdKV9pmRD2t9x8,88.0,2018-12-21,1,179.44948,-5.075,96.057,0.02,4.0,1.0,3.0,0.619,0.0,0.478,0.407,0.7909999999999999,0.5870000000000001,0.0,0.14800000000000002,0.0413,0.536
14mHfNsSHN0FbLftyjrV9g,87.0,2018-09-04,1,195.6371,-2.806,150.024,0.219,4.0,0.877,7.0,0.845,1.0,0.703,0.107,0.792,0.743,0.0,0.183,0.0851,0.742
5wujBwqG7INdStqGd4tRMX,86.0,2018-12-10,1,169.99909,-6.702000000000001,130.032,0.415,4.0,1.0,10.0,0.649,1.0,0.476,0.18600000000000005,0.736,0.67,0.0,0.114,0.311,0.845
0JP9xo3adEtGSdUEISiszL,89.0,2018-03-16,1,135.09039,-5.723,128.009,0.684,4.0,1.0,9.0,0.425,0.0,0.5,0.556,0.921,0.537,0.00404,0.102,0.0804,0.711
1rqqCSm0Qe4I9rUvWncaom,93.0,2018-06-22,1,190.94667,-2.729,82.014,0.132,4.0,1.0,5.0,0.275,1.0,0.42,0.193,0.579,0.904,0.0,0.064,0.0618,0.6809999999999999
2GGMabyHXnJmjY6CXhhB2e,86.0,2018-10-23,1,183.52726,-6.507999999999999,130.003,0.409,4.0,1.0,8.0,0.528,0.0,0.438,0.00534,0.95,0.59,0.0,0.11,0.29,0.219
0e7ipj03S05BNilyu5bRzt,90.0,2018-04-27,1,218.14667000000003,-6.136,159.80100000000004,0.34700000000000003,4.0,0.517,5.0,0.332,0.0,0.257,0.117,0.5870000000000001,0.535,6.56e-05,0.131,0.0898,0.14
1fewSx2d5KIZ04wsooEBOz,85.0,2018-11-06,1,203.26667,-9.789,109.004,0.72,4.0,0.98,5.0,0.732,0.0,0.69,0.368,0.901,0.464,1.7100000000000002e-05,0.238,0.0645,0.638
25sgk305KZfyuqVBQIahim,95.0,2018-08-17,1,187.43633,-4.724,133.002,0.838,4.0,1.0,1.0,0.88,1.0,0.865,0.0691,0.7190000000000001,0.7040000000000001,0.0,0.166,0.0476,0.628
0d2iYfpKoM0QCKvcLCkBao,89.0,2018-07-12,1,173.79986,-7.648,89.391,0.293,4.0,0.973,6.0,0.404,0.0,0.608,0.555,0.56,0.68,0.0,0.116,0.321,0.319
