id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
2bezJO9Nc1yUCKTTuU1Y93,0,2014-01-31,0,140.30766,-20.35,126.79,0.752,4.0,1.0,7.0,0.531,1.0,0.602,0.93,0.519,0.184,0.129,0.114,0.0359,0.444
2cMAHLrkaspfMWD8QRlODb,0,2014-06-30,0,311.12154,-13.880999999999998,103.119,0.624,4.0,0.62,0.0,0.46799999999999997,0.0,0.506,0.528,0.42,0.594,3.4e-06,0.126,0.0537,0.8240000000000001
37ENbdGJLFfkwzlpQhZtyf,0,2014-06-13,0,155.23084,-9.387,88.046,0.133,4.0,1.0,0.0,0.58,1.0,0.557,0.18100000000000002,0.7609999999999999,0.723,7.219999999999999e-05,0.111,0.0472,0.81
3ctaMit7CuiHIPVYrRvm15,41,2014-04-21,0,325.58195,-4.5489999999999995,129.969,0.7979999999999999,4.0,1.0,1.0,0.258,0.0,0.43,0.0173,0.619,0.88,0.0010400000000000001,0.166,0.0535,0.392
5HQp90TwnVEJ2rsABskmxI,1,2014-12-20,0,267.44866,-7.651,93.992,0.426,4.0,0.992,7.0,0.36200000000000004,1.0,0.523,0.128,0.768,0.5670000000000001,0.00116,0.0831,0.0552,0.348
5jFKad9TL0xS7TAesZe3MI,2,2014-11-04,0,298.69333,-5.947,99.999,0.106,4.0,1.0,1.0,0.804,0.0,0.9390000000000001,0.21899999999999997,0.813,0.574,1.91e-06,0.0904,0.0324,0.622
7BmoguL4LDv2uMb2OzXAiD,0,2014-05-27,0,305.28512,-3.7089999999999996,142.02700000000002,0.301,4.0,0.9840000000000001,9.0,0.47700000000000004,0.0,0.409,0.445,0.593,0.899,0.0,0.302,0.33,0.691
62vpWI1CHwFy7tMIcSStl8,84,2014-12-09,1,292.98667,-8.465,100.0,0.22899999999999998,4.0,0.836,10.0,0.243,0.0,0.35700000000000004,0.302,0.696,0.521,0.0,0.0565,0.332,0.45799999999999996
6Ius4TC0L3cN74HT7ENE6e,80,2014-12-09,1,239.32,-8.205,175.483,0.322,4.0,0.995,6.0,0.33299999999999996,0.0,0.31,0.0752,0.504,0.705,0.0,0.128,0.364,0.584
3JvrhDOgAt6p7K8mDyZwRd,78,2014-09-09,1,204.28,-6.694,101.654,0.7,4.0,1.0,1.0,0.22699999999999998,1.0,0.237,0.431,0.484,0.731,0.0,0.151,0.0379,0.51
