id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
4HlFJV71xXKIGcU3kRyttv,82,2010-12-01,1,216.77333,-4.44,97.012,0.635,4,0.994,1,0.4370000000000001,0,0.511,0.185,0.6729999999999999,0.8859999999999999,0.0,0.0826,0.0431,0.795
7BqBn9nzAq8spo5e7cZ0dJ,79,2010-10-05,1,220.73333,-5.4129999999999985,109.012,0.721,4,0.995,5,0.428,1,0.438,0.0151,0.637,0.843,0.0,0.0876,0.0432,0.434
2gZUPNdnz5Y45eiGxpHGSc,78,2010-01-01,1,292.09333,-4.746,153.998,0.242,4,0.952,0,0.392,0,0.444,0.0162,0.5429999999999999,0.915,0.0,0.7440000000000001,0.113,0.5770000000000001
03tqyYWC9Um2ZqU0ZN849H,72,2010-10-01,1,263.77333,-6.3660000000000005,131.497,0.616,4,0.997,1,0.525,1,0.521,0.00544,0.76,0.595,0.0,0.241,0.0391,0.361
1GxHeBvQ9935Dd3cSfsfBa,73,2010-01-01,1,258.76,-2.673,162.19299999999996,0.465,4,1.0,5,0.083,0,0.287,0.0951,0.431,0.894,0.0,0.188,0.33,0.604
2qYsSHsYkihWx043HVJQRV,71,2010-11-02,1,229.4,-5.055,127.024,0.843,4,0.35600000000000004,2,0.624,1,0.8370000000000001,0.34700000000000003,0.68,0.741,1.87e-06,0.117,0.0357,0.635
0JXXNGljqupsJaZsgSbMZV,73,2010-11-26,1,195.37333,-8.127,81.0,0.447,4,1.0,11,0.609,0,0.523,0.0275,0.684,0.603,0.000311,0.191,0.0989,0.504
15JINEqzVMv3SvJTAXAKED,79,2010-06-18,1,263.37332999999995,-5.034,86.98899999999998,0.173,4,0.935,10,0.5479999999999999,1,0.521,0.241,0.7490000000000001,0.925,0.0,0.52,0.227,0.6409999999999999
0HPD5WQqrq7wPWR7P7Dw1i,78,2010-01-01,1,199.69333,-2.718,120.028,0.8009999999999999,4,0.635,2,0.6559999999999999,0,0.5579999999999999,0.0991,0.755,0.8370000000000001,0.0,0.289,0.142,0.7140000000000001
2tJulUYLDKOg9XrtVkMgcJ,74,2010-10-05,1,223.25333,-7.237,110.443,0.8640000000000001,4,0.91,2,0.063,0,0.188,0.146,0.706,0.5579999999999999,0.0,0.118,0.0593,0.227
1yEwEiTpsaPhQi9lb5EVV4,70,2010-09-20,1,203.17333,-8.231,90.987,0.161,4,0.8809999999999999,8,0.6859999999999999,1,0.71,0.4320000000000001,0.715,0.584,1.41e-06,0.095,0.0296,0.61
22PMfvdz35fFKYnJyMn077,72,2010-10-05,1,230.12,-4.848,144.92600000000004,0.583,4,0.8290000000000001,10,0.241,1,0.349,0.332,0.62,0.8320000000000001,0.0,0.104,0.036000000000000004,0.481
7Ie9W94M7OjPoZVV216Xus,77,2010-06-18,1,248.13333,-1.19,114.635,0.17800000000000002,5,0.895,0,0.062,0,0.305,0.529,0.855,0.954,0.0,0.205,0.264,0.6679999999999999
0iYebKFUSfF72fUu2OW6ZT,70,2010-01-01,1,200.01333,-4.339,126.991,0.375,4,1.0,11,0.626,1,0.501,0.269,0.72,0.861,5.11e-06,0.601,0.209,0.669
22L7bfCiAkJo5xGSQgmiIO,74,2010-01-01,1,299.61333,-3.284,142.135,0.452,4,1.0,1,0.0,1,0.222,0.0796,0.541,0.8029999999999999,1.7100000000000002e-05,0.17600000000000002,0.0738,0.221
2a1o6ZejUi8U3wzzOtCOYw,74,2010-01-01,1,198.77333,-4.89,88.917,0.075,3,0.88,0,0.3720000000000001,1,0.508,0.0846,0.4,0.915,0.0,0.0503,0.28,0.878
6lV2MSQmRIkycDScNtrBXO,74,2010-04-26,1,180.48,-4.285,93.033,0.393,4,0.993,6,0.174,0,0.39,0.11,0.66,0.867,0.0,0.0368,0.116,0.377
1DqdF42leyFIzqNDv9CjId,70,2010-01-01,1,203.86667,-3.177,119.968,0.799,4,1.0,4,0.599,1,0.35200000000000004,0.0033200000000000005,0.754,0.804,0.0,0.0329,0.0853,0.818
161DnLWsx1i3u1JT05lzqU,71,2010-10-05,1,217.86667000000003,-4.754,145.83700000000005,0.097,4,1.0,1,0.385,0,0.544,0.512,0.523,0.606,0.0,0.106,0.0301,0.065
3DK6m7It6Pw857FcQftMds,72,2010-01-01,1,547.73333,-3.827,86.986,0.211,4,0.99,1,0.504,0,0.5489999999999999,0.218,0.5710000000000001,0.568,0.0021,0.512,0.0703,0.109
2V4bv1fNWfTcyRJKmej6Sj,72,2010-08-06,1,213.29333,-4.63,129.969,0.52,4,1.0,7,0.63,0,0.6609999999999999,0.179,0.768,0.82,0.0,0.7040000000000001,0.0475,0.625
4356Typ82hUiFAynbLYbPn,75,2010-03-30,1,220.8,-3.398,119.963,0.69,4,1.0,7,0.5770000000000001,0,0.551,0.0338,0.6629999999999999,0.861,0.0,0.08199999999999999,0.109,0.654
7l1qvxWjxcKpB9PCtBuTbU,70,2010-10-05,1,197.37333,-5.98,89.044,0.49,4,0.79,0,0.481,1,0.56,0.84,0.5770000000000001,0.397,0.0,0.0772,0.028,0.509
6epn3r7S14KUqlReYr77hA,73,2010-01-01,1,214.24,-5.183,65.024,0.024,4,1.0,5,0.104,0,0.34,0.0544,0.6559999999999999,0.841,0.0,0.122,0.232,0.522
1ZHYJ2Wwgxes4m8Ba88PeK,71,2010-01-01,1,378.89333,-5.64,124.791,0.022,5,0.99,2,0.0,1,0.0,0.00244,0.628,0.6920000000000001,0.013,0.6679999999999999,0.202,0.0964
0x3TibRgnSqzkcwrqBd4iX,70,2010-01-01,1,228.45333,-7.782999999999999,160.041,0.052000000000000005,4,1.0,2,0.431,1,0.35200000000000004,0.0369,0.7,0.598,0.0,0.111,0.114,0.594
2MWOqewf5j0qf2b6S5J6cS,71,2010-12-01,1,205.45333,-8.514,87.91799999999998,0.33,4,0.438,0,0.91,1,0.7959999999999999,0.8340000000000001,0.461,0.267,2.03e-05,0.107,0.0278,0.481
12lZTPlXwUtrQuhEty6098,72,2010-10-06,1,203.33333,-4.973,122.028,0.901,4,0.848,7,0.7190000000000001,1,0.5529999999999999,0.00629,0.7,0.695,0.0,0.0319,0.0897,0.633
3ZdJffjzJWFimSQyxgGIxN,72,2010-11-12,1,237.8,-6.1610000000000005,89.917,0.061,4,1.0,1,0.96,1,0.787,0.0421,0.531,0.752,0.0,0.12,0.0305,0.103
59dLtGBS26x7kc0rHbaPrq,70,2010-04-26,1,268.32,-5.814,103.993,0.823,4,0.993,10,0.239,1,0.28600000000000003,0.386,0.688,0.853,0.0,0.0862,0.0493,0.743
0q6LuUqGLUiCPP1cbdwFs3,73,2010-03-03,1,233.86667000000003,-5.81,120.423,0.68,4,1.0,2,0.162,1,0.35700000000000004,1.51e-05,0.6890000000000001,0.7390000000000001,0.509,0.064,0.026,0.578
4UEo1b0wWrtHMC8bVqPiH8,70,2010-07-23,1,374.45333,-4.928,129.984,0.6579999999999999,4,0.8,2,0.244,1,0.391,0.00031800000000000003,0.5539999999999999,0.949,9.98e-05,0.2,0.0787,0.233
