id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
7DfFc7a6Rwfi3YQMRbDMau,73,2012-01-01,1,200.74667,-11.094,129.842,0.425,4,1.0,0,0.66,1,0.665,0.41,0.716,0.35,0.00134,0.0927,0.0537,0.17800000000000002
6FE2iI43OZnszFLuLtvvmg,77,2012,1,175.42667,-4.689,102.071,0.261,4,1.0,1,0.343,1,0.58,0.0384,0.72,0.7909999999999999,0.0,0.157,0.124,0.7559999999999999
3LlAyCYU26dvFZBDUIMb7a,73,2012-01-01,1,175.2,-3.015,89.93799999999997,0.07400000000000001,4,1.0,3,0.461,1,0.564,0.19,0.505,0.71,0.00025,0.329,0.0321,0.428
0nJW01T7XtvILxQgC5J7Wh,81,2012-12-07,1,213.82667,-8.648,72.795,0.07200000000000001,4,0.5579999999999999,0,0.516,1,0.644,0.932,0.612,0.28,0.0,0.08800000000000001,0.0434,0.387
6GmUVqe73u5YRfUUynZK6I,71,2012-06-29,1,252.73333,-7.346,74.89699999999998,0.239,4,0.902,7,0.556,1,0.674,0.365,0.479,0.545,0.0,0.0963,0.0688,0.244
4G8gkOterJn0Ywt6uhqbhp,72,2012-01-01,1,186.81333,-3.686,136.245,0.6829999999999999,4,1.0,9,0.496,1,0.546,0.106,0.448,0.784,0.000108,0.6679999999999999,0.0627,0.236
3bidbhpOYeV4knp8AIu8Xn,81,2012-10-09,1,258.34281,-4.457,146.078,0.614,4,0.985,2,0.414,1,0.481,0.0291,0.6409999999999999,0.922,0.0,0.0862,0.0786,0.847
1X1DWw2pcNZ8zSub3uhlNz,71,2012-09-10,1,202.53333,-4.343,84.803,0.332,4,0.992,10,0.464,1,0.486,0.0653,0.421,0.873,0.0,0.123,0.0565,0.63
42zd6DYQ4o4SECmTITrM1U,71,2012-10-26,1,230.69333,-2.459,79.745,0.222,4,1.0,11,0.451,1,0.468,0.468,0.631,0.774,0.0,0.281,0.3,0.44
7a86XRg84qjasly9f6bPSD,70,2012-02-21,1,250.62667,-5.5760000000000005,184.086,0.263,4,0.6609999999999999,10,0.489,1,0.421,0.02,0.378,0.638,7.659999999999999e-05,0.0849,0.075,0.735
6E9V9TRlVOLjenGjHemzEH,70,2012-04-24,1,224.29333,-6.1770000000000005,103.017,0.024,4,0.926,9,0.602,1,0.546,0.0119,0.638,0.722,0.00808,0.189,0.0332,0.469
0i5el041vd6nxrGEU8QRxy,70,2012-01-01,1,208.96,-3.364,148.0,0.506,4,0.782,10,0.515,1,0.545,0.0191,0.457,0.948,0.0,0.0536,0.0354,0.878
0hm8rgOY17z7kQJlqGKbu7,70,2012-09-25,1,276.72,-5.399,131.127,0.87,4,0.94,1,0.8440000000000001,1,0.7659999999999999,0.00993,0.48,0.7559999999999999,0.00704,0.312,0.0333,0.447
3n69hLUdIsSa1WlRmjMZlW,70,2012-09-18,1,227.08,-7.297999999999999,150.071,0.08800000000000001,4,0.903,5,0.055,1,0.24,0.096,0.616,0.6559999999999999,0.0008789999999999999,0.205,0.0344,0.28600000000000003
1LmN9SSHISbtp9LoaR5ZVJ,70,2012-01-01,1,231.38667,-4.828,110.028,0.762,4,0.963,4,0.5379999999999999,1,0.454,0.0136,0.7390000000000001,0.7559999999999999,0.0,0.37,0.0394,0.523
