id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
3U4isOIWM3VvDubwSI3y7a,84,2013-08-30,1,269.56,-7.064,119.93,0.011,4,0.665,8,0.442,1,0.579,0.922,0.422,0.264,0.0,0.132,0.0322,0.331
03fT3OHB9KyMtGMt2zwqCT,74,2013-01-01,1,226.86667000000003,-3.15,144.056,0.7390000000000001,4,0.8170000000000001,11,0.779,1,0.6729999999999999,0.0832,0.51,0.898,0.0,0.071,0.0696,0.596
3xdjjKMcMOFgo1eQrfbogM,75,2013-01-01,1,298.4,-7.138,148.102,0.62,4,0.677,9,0.7390000000000001,1,0.723,0.456,0.529,0.6629999999999999,0.0,0.142,0.0306,0.5920000000000001
4h8VwCb1MTGoLKueQ1WgbD,84,2013-01-01,1,247.42667000000003,-5.659,124.102,0.7340000000000001,4,0.7909999999999999,2,0.335,1,0.52,0.00346,0.518,0.784,0.00187,0.171,0.0524,0.588
2ZltjIqztEpZtafc8w0I9t,75,2013-12-10,1,234.21519,-7.272,166.077,0.017,4,0.753,6,0.467,0,0.532,0.113,0.472,0.448,0.0,0.0914,0.326,0.636
5FVd6KXrgO9B3JPmC8OPst,82,2013-09-09,1,272.3941,-7.596,85.03,0.575,4,0.642,5,0.07400000000000001,1,0.094,0.18600000000000005,0.5479999999999999,0.532,0.000263,0.217,0.0323,0.405
2QjOHCTQ1Jl3zawyYOpxh6,78,2013-04-19,1,240.4,-2.81,124.053,0.396,4,0.996,10,0.141,1,0.275,0.0495,0.612,0.807,0.0177,0.101,0.0336,0.398
4X5f3vT8MRuXF68pfjNte5,76,2013,1,233.78667,-6.87,95.967,0.261,4,1.0,1,0.596,1,0.301,0.024,0.852,0.693,0.0,0.11,0.274,0.66
2PwXOevGUSkU8qaYZjgLq2,70,2013-10-08,1,305.74667,-9.733,86.26,0.012,3,0.172,0,0.6709999999999999,1,0.652,0.172,0.209,0.412,0.15,0.0843,0.0443,0.162
6or1bKJiZ06IlK0vFvY75k,77,2013-11-05,1,363.52145,-2.66,148.14,0.101,4,0.939,7,0.611,1,0.614,0.397,0.708,0.843,0.0,0.799,0.314,0.625
2tznHmp70DxMyr2XhWLOW0,70,2013-10-08,1,208.76,-3.445,113.946,0.609,4,0.952,2,0.537,1,0.654,0.0801,0.635,0.675,0.0,0.0831,0.0263,0.273
00GOPLxW4PGQuUYdPJh8K1,72,2013-12-10,1,180.67537,-9.33,80.027,0.278,4,0.966,1,0.465,0,0.4270000000000001,0.154,0.71,0.47,0.0,0.643,0.142,0.581
2y4lAQpi5VTNLu2ldeTdUH,77,2013-10-04,1,231.24,-5.794,80.003,0.08800000000000001,4,1.0,1,0.33,0,0.701,0.00882,0.613,0.622,0.0,0.37,0.0334,0.484
3yZQk5PC52CCmT4ZaTIKvv,74,2013-10-04,1,187.18667,-4.875,156.07299999999995,0.889,4,0.79,7,0.226,1,0.561,0.00155,0.5720000000000001,0.912,1.2e-06,0.102,0.0707,0.606
