id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
5Q0Nhxo0l2bP3pNjpGJwV1,75,2009-01-01,1,202.06667,-4.526,192.18,0.203,4,1.0,10,0.377,0,0.409,0.00124,0.454,0.708,0.000181,0.0679,0.0675,0.483
3Pzh926pXggbMe2ZpXyMV7,74,2009-03-24,1,175.49333,-7.075,156.004,0.151,4,1.0,0,0.787,1,0.475,0.0438,0.634,0.8490000000000001,0.0,0.363,0.105,0.919
5FEXPoPnzueFJQCPRIrC3c,72,2009-01-01,1,221.26667,-6.362,138.035,0.63,4,0.887,11,0.778,0,0.688,0.503,0.878,0.446,6.32e-06,0.117,0.0635,0.805
3DamFFqW32WihKkTVlwTYQ,78,2009-01-01,1,228.34667,-6.72,90.00200000000002,0.0,4,0.941,3,0.488,1,0.546,0.0294,0.591,0.649,0.0,0.133,0.0417,0.489
5iSEsR6NKjlC9SrIJkyL3k,70,2009-01-01,1,295.29333,-8.906,115.293,0.5,4,0.969,0,0.0,1,0.247,0.511,0.629,0.622,0.000174,0.383,0.0404,0.264
7w5cxTEzp1rfV3KCy0Bd5N,73,2009-07-14,1,303.2,-6.622999999999998,111.665,0.75,4,0.625,2,0.765,1,0.7859999999999999,0.292,0.542,0.589,0.000522,0.177,0.0318,0.13699999999999998
5vlEg2fT4cFWAqU5QptIpQ,72,2009-08-11,1,182.30667,-6.323,91.031,0.8079999999999999,4,1.0,9,0.369,1,0.456,0.173,0.706,0.7509999999999999,0.0,0.168,0.0708,0.195
2UREu1Y8CO4jXkbvqAtP7g,73,2009-08-21,1,178.01333,-2.336,134.99200000000002,0.916,4,1.0,8,0.552,1,0.591,0.0431,0.64,0.957,0.0,0.0789,0.0741,0.6920000000000001
4IoYz8XqqdowINzfRrFnhi,74,2009-01-30,1,241.85333,-5.412000000000001,151.994,0.04,4,0.967,8,0.344,0,0.455,0.0187,0.338,0.8029999999999999,0.0,0.136,0.0413,0.4
7LP4Es66zdY7CyjepqmvAg,71,2009-01-01,1,212.10667,-4.505,66.002,0.014,4,1.0,11,0.0,0,0.15,0.0149,0.6629999999999999,0.693,0.0,0.0778,0.0311,0.71
3iL2l5gUqyPS6vDwJFgJTR,70,2009-01-01,1,288.13333,-6.089,148.001,0.463,4,0.933,8,0.16699999999999998,1,0.078,0.109,0.732,0.659,0.0,0.141,0.225,0.575
1NhPKVLsHhFUHIOZ32QnS2,75,2009-01-01,1,224.69333,-6.199,148.024,0.598,4,1.0,2,0.219,1,0.407,0.098,0.515,0.767,0.0,0.121,0.0352,0.38
2yXyz4NLTZx9CLdXfLTp5E,70,2009-01-01,1,216.73333,-3.65,107.942,0.524,4,1.0,8,0.525,1,0.616,0.000192,0.5429999999999999,0.952,7.8e-06,0.38,0.0668,0.591
4CbKVDZkYKdv69I4bCaKUq,71,2009-08-21,1,186.81333,-2.543,142.018,0.917,4,0.998,1,0.371,1,0.458,0.007909999999999999,0.5329999999999999,0.967,0.0,0.336,0.0995,0.782
4fixebDZAVToLbUCuEloa2,74,2009-01-06,1,224.4,-5.226,139.0,0.653,4,1.0,11,0.369,1,0.294,0.073,0.7240000000000001,0.695,0.0,0.0889,0.0622,0.235
64yrDBpcdwEdNY9loyEGbX,73,2009-05-15,1,321.09333,-4.939,159.779,0.224,4,1.0,5,0.537,1,0.542,0.0518,0.268,0.742,0.0,0.626,0.0355,0.416
4VqPOruhp5EdPBeR92t6lQ,75,2009-09-10,1,304.84,-4.046,128.019,0.951,4,1.0,2,0.836,1,0.6559999999999999,0.000202,0.602,0.905,0.064,0.117,0.0775,0.411
1b7LMtXCXGc2EwOIplI35z,71,2009-01-01,1,203.89333,-10.437,124.194,0.8140000000000001,4,1.0,7,0.617,1,0.5660000000000001,0.0825,0.787,0.541,0.000311,0.065,0.0403,0.962
4fIWvT19w9PR0VVBuPYpWA,72,2009-10-06,1,244.58667000000003,-4.808,122.58,0.7340000000000001,4,0.996,8,0.225,1,0.485,0.152,0.615,0.733,0.0,0.109,0.0335,0.7959999999999999
1IaYWv32nFFMdljBIjMY5T,72,2009-01-01,1,220.62667,-5.864,122.017,0.893,4,1.0,3,0.069,1,0.226,0.00748,0.8270000000000001,0.821,0.0015,0.115,0.0419,0.684
60jzFy6Nn4M0iD1d94oteF,72,2009-11-20,1,222.92,-4.496,173.90599999999995,0.147,4,1.0,11,0.0,1,0.112,0.113,0.563,0.75,0.0,0.0788,0.127,0.812
217bRMES4HVbPdUe8l8ECN,71,2009-06-09,1,238.72,-10.729,125.941,0.848,4,0.8690000000000001,1,0.335,1,0.579,0.14300000000000002,0.812,0.506,0.0,0.132,0.0533,0.701
3GpbwCm3YxiWDvy29Uo3vP,72,2009-03-30,1,204.64,-6.852,124.986,0.7559999999999999,4,0.913,7,0.794,1,0.516,0.009000000000000001,0.72,0.672,0.0,0.232,0.0551,0.705
1HR2CTi0ytRJIcik1QKdOa,70,2009-05-15,1,392.82667,-4.413,132.09,0.674,4,0.731,5,0.7040000000000001,0,0.7020000000000001,0.266,0.7240000000000001,0.685,0.0,0.0771,0.0768,0.524
2Bhmj4XK33InfhqKPxcJ1v,70,2009-06-09,1,229.36,-9.71,124.005,0.887,4,1.0,11,0.638,1,0.493,0.0764,0.825,0.605,0.0,0.314,0.0376,0.944
7nDIflSHQXzaa8zupxwv3U,71,2009-05-19,1,259.85333,-3.2060000000000004,95.223,0.322,4,0.995,4,0.509,0,0.504,0.649,0.653,0.8270000000000001,0.0,0.18,0.042,0.733
1z3ugFmUKoCzGsI6jdY4Ci,71,2009-09-18,1,342.68,-5.285,111.037,0.809,4,0.973,5,0.168,1,0.245,0.264,0.624,0.8420000000000001,2.11e-05,0.181,0.0376,0.257
3QmesrvdbPjwf7i40nht1D,70,2009-11-03,1,250.90667,-11.342,144.171,0.494,4,0.998,2,0.34,1,0.457,0.909,0.643,0.344,0.0112,0.106,0.0349,0.547
22sLuJYcvZOSoLLRYev1s5,70,2009-09-18,1,240.28,-3.419,136.506,0.979,4,1.0,0,0.738,1,0.691,0.333,0.742,0.883,7.51e-06,0.0964,0.0329,0.978
5sra5UY6sD658OabHL3QtI,72,2009-12-15,1,216.48,-7.784,92.959,0.16699999999999998,4,0.997,6,0.805,1,0.745,0.7390000000000001,0.479,0.368,4.1e-05,0.118,0.0341,0.142
3UI9I3e1g1y5T3SMfdgfGO,73,2009,1,230.28,-4.803,120.025,0.698,4,1.0,6,0.7020000000000001,1,0.7240000000000001,0.535,0.836,0.637,0.0,0.129,0.0367,0.875
0Fk2NcRQpungRyAx9Y6KTk,55,2009-09-15,0,213.64,-3.443,149.99200000000005,0.14300000000000002,4,0.8240000000000001,2,0.285,0,0.446,0.00878,0.233,0.943,0.0,0.359,0.171,0.0501
3UgZU8rv4G9O6Y47dBRrWM,50,2009-01-01,0,178.34667,-6.266,133.819,0.887,4,0.6890000000000001,1,0.91,1,0.778,0.00245,0.517,0.878,0.0,0.0963,0.0538,0.609
3mzV0WDATjcpzcTNK2TLJw,52,2009-09-28,0,209.42667,-2.175,195.972,0.362,4,1.0,4,0.0,1,0.207,0.000125,0.416,0.98,0.0,0.332,0.108,0.612
