id,popularity,release_date,hit_miss,duration,key,key_confidence,loudness,mode,mode_confidence,tempo,tempo_confidence,time_signature,time_signature_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
7EmYbvA4draDbiCnfXCoQ3,0,2015,0,265.29052,7,0.684,-3.7510000000000003,0,0.523,149.928,0.142,4,1.0,0.381,0.5870000000000001,0.996,0.0,0.35100000000000003,0.293,0.41100000000000003
04u1CP1XO2KB0ShSQ2AFRV,0,15/7/15,0,122.22667,9,0.002,-9.435,0,0.21100000000000002,159.808,0.162,3,0.99,0.0194,0.624,0.564,0.0,0.0761,0.0469,0.637
0fUAlDEiK4PrhHBJBEbaVx,0,9/2/15,0,327.50585,1,0.18,-6.261,0,0.244,119.905,0.823,4,0.997,0.0359,0.6509999999999999,0.674,1.02e-06,0.26899999999999996,0.0405,0.784
0mHToeH1xPk4YqUHnKfn2i,0,9/12/15,0,209.47732,9,0.442,-5.233,0,0.397,97.984,0.45,4,1.0,0.0808,0.591,0.6579999999999999,0.0,0.0537,0.158,0.711
0wc1KAmHvBWEC0Y4nHKgzU,1,15/9/15,0,219.98989,5,0.64,-11.107000000000001,1,0.46299999999999997,89.708,0.14,1,0.77,0.868,0.473,0.287,4.61e-05,0.0937,0.0292,0.14400000000000002
0xyrJMCwXTS71kL1VRgqfs,2,9/3/15,0,347.32707,10,0.618,-6.273,1,0.5379999999999999,174.049,0.098,4,0.993,0.502,0.491,0.68,0.0,0.11199999999999999,0.0406,0.47
0yhKfA0UhrBxNeQwt3K9QH,5,30/9/15,0,344.0,5,0.6409999999999999,-2.465,1,0.584,75.029,0.397,4,0.948,0.11800000000000001,0.609,0.922,0.0,0.0785,0.11900000000000001,0.6829999999999999
11DiQWcf84IcHENF0OrPoz,17,16/12/15,0,339.28667,1,0.542,-3.677,0,0.6990000000000001,80.083,0.478,4,1.0,0.38,0.37200000000000005,0.851,0.0,0.174,0.0667,0.574
19wbduH8Vw704NrFnfwbZH,0,27/3/15,0,299.54812000000004,7,0.392,-6.516,0,0.494,95.04700000000001,0.74,4,0.996,0.47700000000000004,0.738,0.904,0.0038299999999999996,0.278,0.133,0.894
1IQal4qYfaJqmiUbuLRbIe,12,12/6/15,0,317.21333,0,0.0,-7.487,1,0.165,134.934,0.703,3,0.992,0.322,0.652,0.475,2.27e-05,0.126,0.0311,0.46
1OtmIG5Q7thCSslNwtzinl,0,15/5/15,0,235.84,3,0.62,-5.3020000000000005,0,0.535,107.008,0.556,4,0.965,0.313,0.847,0.795,0.0,0.11699999999999999,0.132,0.8320000000000001
1amgLe1vtBU3b9vijmMDp5,0,14/8/15,0,298.0,0,0.581,-11.889000000000001,1,0.6559999999999999,107.985,0.484,4,0.985,0.158,0.691,0.402,0.00019099999999999998,0.10400000000000001,0.0304,0.263
1cSQ16pP1zicyG9x9so80Y,0,9/3/15,0,353.20162999999997,7,0.613,-3.2510000000000003,1,0.6759999999999999,144.998,0.725,4,0.8740000000000001,0.75,0.615,0.945,0.0,0.883,0.16399999999999998,0.73
22kZXkB4uy8tjuS7GbL3ow,0,22/9/15,0,207.54286000000002,1,0.624,-5.603,1,0.561,101.0,0.573,4,1.0,0.5579999999999999,0.732,0.919,0.000166,0.0789,0.207,0.861
2YZFzJZyIPYdHgPed95qIR,12,29/12/15,0,270.29052,0,0.716,-3.029,1,0.621,181.363,0.647,3,1.0,0.5489999999999999,0.737,0.847,0.00024900000000000004,0.386,0.20800000000000002,0.9520000000000001
2tEFqDPoMWs5dJhsKSSs1W,0,18/12/15,0,228.66381,9,0.6940000000000001,-5.353,0,0.635,157.386,0.15,3,1.0,0.743,0.583,0.698,0.0,0.102,0.128,0.6709999999999999
2vcZURRUsFvr9I1Q7BZMY2,2,26/5/15,0,351.42857000000004,8,0.16899999999999998,-6.3660000000000005,1,0.486,140.007,0.777,4,0.998,0.00119,0.672,0.7879999999999999,0.465,0.14400000000000002,0.0309,0.304
31wyeDDMSD2lDsRBdyWLvl,4,7/6/15,0,311.42852999999997,10,0.365,-7.934,0,0.461,105.00200000000001,0.773,4,0.9440000000000001,0.0588,0.8290000000000001,0.765,2.33e-06,0.15,0.0896,0.391
33VQ1kyz6eted120VSLz9g,0,11/4/15,0,285.42857000000004,7,0.24600000000000002,-4.772,1,0.405,140.041,0.675,4,1.0,0.0381,0.754,0.733,1.13e-06,0.111,0.0596,0.434
39GcR1iJpR2RX629O0zuW5,35,2/5/15,0,263.80952,9,0.5710000000000001,-4.606,0,0.392,126.007,0.868,4,1.0,0.00147,0.7340000000000001,0.738,0.0,0.113,0.0368,0.813
3IkVvGYF4IK7QJ8KBcdfVz,1,23/6/15,0,266.0,11,1.0,-1.883,0,0.769,119.964,0.662,4,1.0,0.172,0.805,0.982,0.0,0.0525,0.0601,0.489
3ajFoV0NuuwCYfmouTEqVh,0,20/8/15,0,251.47211000000001,7,0.56,-8.591000000000001,1,0.6890000000000001,130.028,0.21,4,1.0,0.413,0.82,0.643,0.0,0.0613,0.0662,0.8540000000000001
4khGMylpWKWI9IhsNbdhu4,3,17/7/15,0,239.46739,4,0.6809999999999999,-8.402000000000001,1,0.27699999999999997,81.99700000000001,0.431,4,1.0,0.344,0.865,0.8170000000000001,0.000126,0.0484,0.187,0.835
5F6QjI9stjXP8yNzu60SEP,31,16/10/15,0,112.40531000000001,7,0.871,-7.407,1,0.642,150.062,0.604,4,1.0,0.00446,0.562,0.7959999999999999,1.07e-06,0.149,0.0612,0.614
5GygEHcklNUu8RpbvpS9hj,2,29/7/15,0,270.0,0,0.46,-6.843,1,0.5670000000000001,100.009,0.46299999999999997,4,1.0,0.0232,0.833,0.605,0.046,0.138,0.0432,0.603
5JlZLXvZBEFD9u8OoJq6Yh,33,2/5/15,0,243.16593999999998,0,0.326,-3.005,1,0.41,125.02600000000001,0.792,4,0.904,0.0817,0.8390000000000001,0.8690000000000001,0.0,0.32299999999999995,0.14800000000000002,0.605
5MY6S6hsEHFZVeczvqAMcZ,1,10/11/15,0,175.48426,11,0.9309999999999999,-4.5,0,0.53,127.993,0.611,4,0.924,0.115,0.825,0.841,0.0,0.182,0.036000000000000004,0.759
5ODTlERowNyj4UUwk9MzN3,0,29/8/15,0,277.14449,11,0.625,-6.513999999999999,0,0.626,124.96799999999999,0.804,4,0.9740000000000001,0.12300000000000001,0.708,0.7829999999999999,1.1900000000000001e-05,0.057,0.0439,0.36
5Ru8KaiGTpKvLwKUx5HhQX,0,20/6/15,0,38.58286,11,0.47700000000000004,-5.225,1,0.377,124.838,0.763,4,1.0,0.185,0.66,0.9520000000000001,3.13e-06,0.114,0.171,0.256
5haRQNylV3QwUDBgmRzwik,11,1/3/15,0,174.78667,7,0.985,-4.529,1,0.8740000000000001,72.702,0.027000000000000003,4,1.0,0.445,0.5760000000000001,0.875,0.0,0.10800000000000001,0.20199999999999999,0.5760000000000001
6FTqvd2GAJp2msi9QmeUl3,23,10/10/15,0,221.67306000000002,9,0.389,-4.612,1,0.409,136.028,0.14800000000000002,4,1.0,0.245,0.805,0.907,3.43e-05,0.14400000000000002,0.0496,0.885
6KLptRb0rQnOP1ELrpJo8l,12,12/3/15,0,241.04345,5,0.33899999999999997,-3.8080000000000003,1,0.355,115.098,0.113,4,0.9940000000000001,0.43200000000000005,0.551,0.615,0.000173,0.0796,0.0541,0.755
6MRxCzrFrSLvT9JDRTIbuB,0,10/3/15,0,374.77878,4,0.541,-5.412000000000001,1,0.5489999999999999,136.016,0.406,4,0.8370000000000001,0.479,0.547,0.526,0.000221,0.0801,0.0301,0.272
6goKqNKsQG054nCZg2HM2T,0,11/9/15,0,67.17125,2,0.865,-9.695,0,0.633,149.773,0.049,4,1.0,0.77,0.6459999999999999,0.384,7.58e-05,0.0928,0.0492,0.299
76NNchd3uU17a2vz0lVamM,0,29/8/15,0,299.11193,9,0.162,-8.39,1,0.348,125.09100000000001,0.335,4,0.856,0.518,0.531,0.47200000000000003,1.04e-06,0.10400000000000001,0.0364,0.271
77XrLnudmmLrJtiYRZOuuf,16,20/7/15,0,278.73061,11,0.655,-5.724,0,0.684,127.994,0.426,4,1.0,0.0716,0.593,0.825,0.000717,0.369,0.031,0.40700000000000003
7MnTwkdjrWbppgI9pT9hWV,10,10/1/15,0,280.0,9,0.24100000000000002,-6.002000000000001,1,0.43799999999999994,134.805,0.516,1,0.079,0.6609999999999999,0.534,0.518,1.25e-06,0.10800000000000001,0.0299,0.32
7caQylcoX6Xt7omL7sqQqT,0,25/9/15,0,447.64653,3,0.0,-4.691,0,0.031,80.04,0.304,4,0.986,0.239,0.578,0.715,0.0,0.10099999999999999,0.0344,0.757
7cf7J8vkTWiP2Rc6t7fOfc,0,20/6/15,0,309.09333,4,0.2,-1.474,1,0.264,121.594,0.15,4,1.0,0.511,0.5710000000000001,0.973,5.67e-05,0.0838,0.396,0.5529999999999999
7chD5jWRiBjaDgy1n5BM7u,9,7/6/15,0,335.14281,5,0.5720000000000001,-10.554,1,0.485,70.086,0.055,4,1.0,0.677,0.725,0.45299999999999996,2.05e-06,0.115,0.10300000000000001,0.617
7jU0NqHxeWX3zGK2d4RK56,0,3/3/15,0,325.66667,2,0.632,-5.042,0,0.429,106.03200000000001,0.8420000000000001,4,1.0,0.161,0.83,0.634,0.0,0.0772,0.0355,0.813
7m5HeiPuBwovKTn3VQmA4g,0,8/10/15,0,230.15573999999998,7,0.129,-5.982,1,0.423,134.035,0.807,4,1.0,0.1,0.691,0.8320000000000001,0.0,0.649,0.304,0.628
7np9qUtIQyriT8o0Bt96ud,0,9/6/15,0,226.31696000000002,11,0.509,-7.535,0,0.499,82.45100000000001,0.251,4,0.997,0.532,0.515,0.701,0.0,0.276,0.0518,0.8390000000000001
7r9wrXtzl1ddQGZlS51nhK,0,29/1/15,0,260.79323999999997,1,0.603,-5.447,1,0.703,117.97399999999999,0.8590000000000001,4,1.0,0.0515,0.695,0.737,1.67e-06,0.0615,0.14400000000000002,0.546
7vXCMurf6WOKRGS9zjPhRj,0,23/8/15,0,264.20349,2,0.29,-5.132999999999999,1,0.616,89.979,0.314,4,1.0,0.48,0.718,0.8009999999999999,0.0,0.11199999999999999,0.13699999999999998,0.546
43PuMrRfbyyuz4QpZ3oAwN,80,2/10/15,1,194.61333,6,0.032,-10.597999999999999,1,0.506,160.14,0.316,4,0.35700000000000004,0.10800000000000001,0.53,0.433,0.0,0.135,0.185,0.27399999999999997
67iF3DdebmElASIGoebYt1,78,26/5/15,1,73.88676,5,0.474,-15.776,1,0.509,0.0,0.0,0,0.0,0.0,0.0,2.01e-05,0.0,0.0,0.0,0.0
5kNe7PE09d6Kvw5pAsx23n,77,1/1/15,1,227.42667000000003,2,0.35600000000000004,-9.245,1,0.597,166.05200000000002,0.187,4,1.0,0.381,0.66,0.38299999999999995,0.0,0.11900000000000001,0.0304,0.381
3fqwjXwUGN6vbzIwvyFMhx,78,4/5/15,1,293.29332999999997,9,0.387,-10.888,1,0.498,48.718,0.015,4,1.0,0.205,0.392,0.37,0.0096,0.0821,0.0298,0.512
0QZ5yyl6B6utIWkxeBDxQN,76,7/4/15,1,208.22666999999998,2,0.611,-9.545,1,0.711,174.118,0.128,3,0.836,0.968,0.441,0.379,0.262,0.639,0.0449,0.105
3pXF1nA74528Edde4of9CC,78,2/10/15,1,198.29333,11,0.414,-5.556,0,0.45,97.001,0.098,4,1.0,0.222,0.765,0.35600000000000004,0.0,0.0963,0.196,0.19
6K4t31amVTZDgR3sKmwUJJ,83,17/7/15,1,216.32,4,0.0,-4.083,1,0.217,116.87899999999999,0.976,4,0.988,0.0115,0.64,0.74,0.00678,0.16699999999999998,0.0284,0.785
7fBv7CLKzipRk6EC6TWHOB,82,28/8/15,1,242.25332999999998,0,0.79,-7.065,0,0.9259999999999999,112.986,0.154,4,1.0,0.0671,0.58,0.565,0.0,0.135,0.0488,0.138
6y6jbcPG4Yn3Du4moXaenr,79,14/2/15,1,245.17243,1,0.6940000000000001,-8.755,0,0.742,144.871,0.282,4,0.847,0.611,0.63,0.5,4.04e-05,0.114,0.0611,0.315
3CRDbSIZ4r5MsZ0YwxuEkn,84,15/5/15,1,202.33333000000002,4,0.0,-5.6770000000000005,0,0.040999999999999995,169.977,0.207,4,1.0,0.0462,0.7340000000000001,0.637,2.2899999999999998e-05,0.0602,0.141,0.648
2Z8WuEywRWYTKe1NybPQEW,83,15/5/15,1,214.50667,6,0.306,-5.355,1,0.509,74.98899999999999,0.033,4,0.98,0.00835,0.645,0.713,0.0,0.113,0.0393,0.5660000000000001
0prNGof3XqfTvNDxHonvdK,75,13/11/15,1,230.22667,0,0.322,-5.74,1,0.41100000000000003,97.085,0.001,4,1.0,0.0285,0.573,0.7390000000000001,0.0,0.111,0.129,0.451
6GnhWMhgJb7uyiiPEiEkDA,76,18/9/15,1,208.08,8,0.225,-8.442,1,0.374,120.05799999999999,0.16899999999999998,4,0.995,0.47,0.843,0.435,0.0,0.147,0.17800000000000002,0.19
04aAxqtGp5pv12UXAg4pkq,80,20/1/15,1,228.36,4,0.309,-2.8169999999999997,0,0.37799999999999995,176.014,0.28600000000000003,4,0.995,0.004,0.385,0.866,0.0,0.111,0.0697,0.551
0PJIbOdMs3bd5AT8liULMQ,75,4/12/15,1,238.32,5,0.594,-3.825,1,0.466,119.749,0.083,4,0.972,0.192,0.715,0.703,0.0,0.113,0.0503,0.596
3I7krC8kr0gFR7P6vInR1I,73,2/6/15,1,234.30612000000002,9,0.498,-5.422999999999999,1,0.546,89.95299999999999,0.327,4,0.838,0.122,0.5489999999999999,0.7509999999999999,0.0,0.20800000000000002,0.0299,0.493
1wHZx0LgzFHyeIZkUydNXq,77,4/9/15,1,262.69333,1,0.19899999999999998,-5.046,1,0.45799999999999996,131.05,0.789,4,1.0,0.007670000000000001,0.713,0.526,0.000148,0.124,0.032,0.131
