name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,97,2019-04-05,hit,157.06667,-5.56,136.041,0.5589999999999999,4,1.0,6,0.7559999999999999,1,0.6509999999999999,0.0533,0.878,0.619,0,0.113,0.102,0.639
ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,87,2019-04-26,hit,193.04,-4.08,91.006,0.154,4,1.0,0,0.5479999999999999,1,0.495,0.0324,0.715,0.832,0,0.112,0.0502,0.66
bad guy,2Fxmhks0bxGSBdJ92vM42m,100,2019-03-29,hit,194.08785,-10.965,135.128,0.474,4,0.8109999999999999,7,0.428,1,0.474,0.328,0.701,0.425,0.13,0.1,0.375,0.562
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,93,2019-01-23,hit,213.59356,-11.713,123.984,0.568,4,0.92,8,0.28,1,0.506,0.149,0.837,0.364,0,0.271,0.276,0.463
Old Town Road,53CJANUxooaqGOtdsBTh7O,96,2019-03-14,hit,113.01333000000001,-6.063,136.019,0.8640000000000001,4,1.0,1,1.0,1,0.828,0.0361,0.908,0.517,1.73e-06,0.0949,0.129,0.471
Sucker,4y3OI86AEP6PQoDE6olYhO,97,2019-03-01,hit,181.04,-5.065,137.958,0.8740000000000001,4,0.89,1,0.5489999999999999,0,0.521,0.0427,0.842,0.734,0,0.106,0.0588,0.952
"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,95,2019-02-08,hit,190.44,-5.29,169.99900000000002,0.33299999999999996,4,0.9940000000000001,5,0.662,0,0.595,0.0421,0.726,0.554,0,0.106,0.0917,0.335
Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,91,2019-01-16,hit,194.51959,-5.545,202.00599999999997,0.057999999999999996,4,1.0,0,0.953,1,0.6779999999999999,0.172,0.68,0.559,0,0.318,0.129,0.137
Mixed Personalities (feat. Kanye West),6vWEAOUSxohKxhp0K1BsxL,89,2019-01-18,hit,230.4,-9.104,149.937,0.013000000000000001,4,1.0,2,0.435,1,0.54,0.457,0.661,0.44,0,0.128,0.0803,0.352
Robbery,6Hj9jySrnFppAI0sEMCZpJ,89,2019-03-08,hit,240.05052,-5.122000000000001,159.966,0.037000000000000005,5,0.019,2,0.8859999999999999,1,0.862,0.328,0.685,0.692,0,0.153,0.0457,0.578
wish you were gay,3Fj47GNK2kUF0uaEDgXLaD,93,2019-03-29,hit,221.54345,-10.198,118.02799999999999,0.07200000000000001,4,0.946,7,0.62,1,0.619,0.39,0.853,0.351,9.38e-06,0.752,0.241,0.282
bury a friend,4SSnFejRGlZikf02HLewEF,94,2019-03-29,hit,193.14331,-14.505,120.046,0.092,4,0.9890000000000001,8,0.61,1,0.615,0.74,0.905,0.389,0.162,0.106,0.332,0.196
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,95,2019-04-12,hit,229.77347000000003,-4.757,119.991,0.732,4,1.0,11,0.501,0,0.552,0.0923,0.645,0.862,0,0.192,0.0965,0.798
when the party's over,43zdsphuZLzwA9k4DJhU0I,92,2019-03-29,hit,196.07705,-14.084000000000001,82.64200000000001,0.023,4,0.618,4,0.22899999999999998,1,0.405,0.978,0.367,0.111,3.97e-05,0.0897,0.0972,0.198
Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,88,2019-04-09,hit,243.97633,-6.736000000000001,134.972,0.18,4,0.862,6,0.11599999999999999,0,0.369,0.0948,0.729,0.603,0,0.113,0.0666,0.207
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,92,2019-02-08,hit,207.32,-5.6339999999999995,106.96600000000001,0.19399999999999998,4,1.0,1,0.618,1,0.654,0.229,0.717,0.653,0,0.101,0.0658,0.412
