name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Jan Na Pahchan Chheke Na Dagariya,4a50jAew4A3clDcjFnSt2B,0,2017-06-25,miss,310.75265,-7.643,116.68799999999999,0.546,4,0.667,6,0.5720000000000001,0,0.47600000000000003,0.0998,0.587,0.644,0.0208,0.238,0.0851,0.446
Premena Premena,4bGjJbRJdHDDWOCJ7CLAe1,0,2017-08-24,miss,336.5,-6.7410000000000005,87.95,0.258,4,1.0,1,0.40700000000000003,1,0.44799999999999995,0.0874,0.562,0.858,0.0,0.11,0.13,0.381
Laaj Lage Bole Me,4dSfYbFFzogUsmKf6DEolx,0,2017-05-27,miss,306.75202,-8.82,136.086,0.9179999999999999,4,1.0,10,0.494,1,0.39899999999999997,0.638,0.661,0.606,3.4e-06,0.149,0.0398,0.925
Ishq Ishq,4edoImrvYA7W8g1gWRF5zO,0,2017-04-15,miss,205.90912,-1.861,83.113,0.0,4,0.087,1,0.065,0,0.254,0.21,0.379,0.877,0.0,0.305,0.367,0.719
Aram Seyya Virumbu,4fRh9pgBuuEZPKWl2oWsw8,4,2017-10-05,miss,246.95392,-5.291,119.87200000000001,0.633,4,0.8490000000000001,0,0.6709999999999999,1,0.644,0.716,0.563,0.692,0.0,0.133,0.0344,0.582
Innallu Enaadu,4ghwztq7JPokQk3cR9p0yy,0,2017-08-24,miss,256.47039,-7.962000000000001,169.75,0.235,3,1.0,5,0.624,0,0.742,0.734,0.536,0.532,0.0,0.0939,0.0447,0.546
Ma,4glDb48UphsGVatuQi3oGT,0,2017-11-23,miss,232.84971000000002,-8.341000000000001,100.005,0.314,4,1.0,0,0.773,1,0.7490000000000001,0.44,0.676,0.416,4.61e-05,0.1,0.0238,0.301
Mubarakan Title Track Remix(Remix By Abhijit Vaghani),4gqhS91hcYJ1PIN2poLv0U,3,2017-07-27,miss,143.75546,-5.445,118.096,0.7559999999999999,4,1.0,1,0.0,1,0.215,0.0114,0.684,0.937,0.000107,0.223,0.144,0.46
Nada Ra Raja,4jAsIDZzaNqaRukdAoqH6i,7,2017-06-26,miss,210.5,-6.2139999999999995,180.05200000000002,0.132,4,1.0,2,0.0,1,0.172,0.0587,0.547,0.959,0.0,0.257,0.286,0.473
Unthan Kannil,4jkXwJzv81yEJDnGBc7yJd,0,2017-01-27,miss,207.87401,-7.108,127.016,0.95,4,1.0,7,0.39799999999999996,1,0.46399999999999997,0.401,0.879,0.513,0.0186,0.213,0.118,0.567
Sutla Me Dekhani Sapnwa,4n1KPigjgtng4xp8v1pg5Y,0,2017-02-03,miss,376.39837,-2.302,149.84,0.19899999999999998,4,0.997,11,0.049,1,0.225,0.316,0.605,0.944,0.0,0.346,0.257,0.73
Address Song,4nGr7S7C97rwLCbBsp9fxb,23,2017-09-08,miss,271.28077,-9.631,118.926,0.509,4,0.9840000000000001,1,0.6709999999999999,1,0.444,0.313,0.843,0.294,0.0,0.274,0.467,0.536
Pappa Tamne Nai Samjay,4pJQGDwnY4BCk1GBmMijYT,0,2017-08-12,miss,182.68299,-7.626,139.851,0.831,4,1.0,7,0.102,0,0.168,0.0401,0.79,0.708,9.54e-06,0.0992,0.0672,0.453
Ektu Khola Hawa - Female Version,4rocYp3pjHJx6z26X2Nn11,0,2017-11-29,miss,135.91664,-11.272,151.30100000000002,0.077,4,0.9840000000000001,4,0.622,1,0.3,0.565,0.444,0.366,0.0,0.187,0.072,0.335
"Love Theme, Pt. 2",4tsj0WIU5oanMZs4zvCm45,0,2017-04-05,miss,39.0,-21.476,112.368,0.165,4,1.0,2,0.833,1,0.624,0.82,0.326,0.0592,0.912,0.163,0.0445,0.102
Choopultho Guchchi,4vGBcy63Zx9wHd18Hq2fLI,2,2017-05-03,miss,238.34159,-9.242,114.985,0.006999999999999999,4,1.0,2,0.589,1,0.8029999999999999,0.544,0.853,0.626,0.000156,0.0934,0.0861,0.734
Aaya Rang Rasiya,4y8w7sHPvvnDL06UVrdseV,0,2017-10-27,miss,187.24998,-2.957,109.93799999999999,0.862,4,1.0,5,0.122,0,0.314,0.153,0.674,0.94,0.0,0.136,0.163,0.759
Baba Nanak,4zKz1Z8WOfiOFQP1hVAI4C,0,2017-07-24,miss,212.14041,2.097,172.02,0.976,4,1.0,2,0.645,1,0.667,0.0278,0.689,0.974,0.0,0.0747,0.0689,0.862
"Chimanbhai Ni Chaal (Title Song) [From ""Chimanbhai Ni Chaal""]",4zs1j9oyyrzEkEjW33qGPz,0,2017-07-05,miss,106.01568999999999,-8.383,132.984,0.606,4,1.0,1,0.45799999999999996,0,0.35200000000000004,0.307,0.776,0.924,0.0,0.424,0.0722,0.818
Thookanangoodu Adhil Tolet,50Pob8meJximbHcOiisHxb,17,2017-12-13,miss,248.30771000000001,-6.8389999999999995,129.986,0.419,4,1.0,0,0.8440000000000001,0,0.706,0.429,0.69,0.602,0.000227,0.119,0.0518,0.494
Tere Bina - Duet,50masomoTd6TwQYkKaX9jG,18,2017-09-08,miss,311.3024,-10.279000000000002,129.946,0.622,4,1.0,7,0.7979999999999999,1,0.7070000000000001,0.471,0.631,0.468,0.00626,0.092,0.0358,0.299
Aaj Tui Ekla,510dDg7xi3CT8Sp3w7nIuj,0,2017-01-10,miss,304.0,-10.751,134.931,0.7140000000000001,4,0.9940000000000001,11,0.871,1,0.762,0.826,0.625,0.39,0.0239,0.102,0.0288,0.294
Rum Ke Dum Dekha,54e52u9EV3rPEloh7BaSGz,0,2017-07-09,miss,320.4702,0.031,75.221,0.114,4,1.0,6,0.588,1,0.605,0.264,0.599,0.978,0.0,0.131,0.135,0.85
Ayyo Ppapam,57dfpvtkQVPsVm2BGVmbhJ,0,2017-03-22,miss,240.23075,-5.455,130.112,0.46399999999999997,4,1.0,0,0.5589999999999999,1,0.5870000000000001,0.217,0.772,0.708,0.0,0.132,0.187,0.792
Chori Badi Dildar,5B8y7NyGDSvTI8vu61J6kX,0,2017-02-28,miss,261.69469,-5.3020000000000005,135.05100000000002,0.838,4,1.0,5,0.166,0,0.115,0.141,0.656,0.977,0.0,0.495,0.0712,0.894
Naatu Song,5CbQcqfudOLmldYCl6Hatq,0,2017-07-11,miss,59.036730000000006,-6.129,87.51299999999999,0.092,4,1.0,6,0.524,0,0.515,0.288,0.793,0.814,0.0,0.0718,0.139,0.956
Summane,5CrIytpERhvVFVhCXHUoxH,0,2017-02-24,miss,288.0,-10.526,129.826,0.662,4,0.971,2,0.006999999999999999,0,0.33299999999999996,0.656,0.513,0.468,0.00771,0.158,0.0349,0.387
Be My Love,5En1hNeX9r2ugSVaO1of9z,0,2017-11-17,miss,237.02739,-9.282,172.138,0.348,4,1.0,1,0.662,0,0.644,0.533,0.679,0.672,0.0235,0.156,0.0686,0.696
