name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Megh Rong,3PsykzuitOUHIArf6PR8NA,0,28/11/2018,miss,83.97533,-4.785,148.667,0.344,3,1,3,0.288,1,0.369,0.866,0.609,0.663,1.33E-06,0.115,0.12,0.704
Beauty Parlor Chalavelu Ka Rani,3QCq7k9BR1ePQL6o02NoiD,0,3/3/2018,miss,235.00141,-7.004,99.973,0.212,4,1,9,0.467,0,0.412,0.638,0.603,0.809,0,0.318,0.0594,0.96
Hamri Atariya Pe Aava Na Sanwariya,3SR5NQSLTUnVcXfqCCBuJg,0,15/3/2018,miss,247.22576,-5.822,169.983,0.22,4,1,6,0.384,1,0.535,0.372,0.5,0.846,0,0.286,0.254,0.86
Om Jai Jagdish Hare,3U89O1KMTfzhQktgCrY80q,8,20/2/2018,miss,505.44444,-13.562,179.82,0.032,4,0.802,4,0.786,1,0.624,0.437,0.514,0.358,0.000376,0.22,0.0555,0.591
"Bombay Pothava Raja (From ""Paper Boy"")",3UcEpP0cLfV7aT6Cfq6IYI,7,28/7/2018,miss,249.40549,-4.005,144.753,0.041,4,1,0,0.337,1,0.351,0.199,0.637,0.938,0,0.0347,0.25,0.728
Pulari Mazhakal,3UwqnnnT8QVSfmp942Zy6y,1,1/10/2018,miss,239.4,-12.996,99.947,0.097,4,0.59,11,0.583,0,0.631,0.855,0.365,0.228,0.000265,0.178,0.0556,0.302
Qurbani,3VxvduhRVrXiAKDr48LYYD,0,25/6/2018,miss,438.84209,-2.768,140.124,0.632,4,1,10,0.758,0,0.621,0.48,0.618,0.923,5.53E-06,0.095,0.0948,0.944
Soniye Dil Nayi,3Xcc5l56PFT7gOBPcT6bP8,26,20/3/2018,miss,320.10989,-7.269,78.784,0.142,4,0.98,7,0.658,0,0.69,0.531,0.277,0.486,0,0.247,0.0351,0.41
Desi Beat Pe Lachke Kamariya,3a381PKy2GEY86rwq3Yod2,0,24/7/2018,miss,209.37088,-5.39,160.002,0.481,4,1,7,0.548,1,0.563,0.03,0.651,0.979,3.77E-05,0.313,0.28,0.502
Kabo Pyar Na Hoi Kam,3b32Ao0ZpuNUwa3MpIqcpM,0,3/11/2018,miss,240,-3.371,86.302,0.044,4,0.994,8,0.845,0,0.729,0.317,0.334,0.891,0,0.323,0.0467,0.858
Touch Chesi Chudu (Tiitle Track),3b5wENWf4s3iuIPLhCCm2N,5,28/1/2018,miss,264.3,-4.096,100.007,0.481,4,0.92,5,0.564,0,0.624,0.164,0.7,0.955,0,0.335,0.12,0.684
Hey Hey ILU - Female Version,3cWDVg1Kw8w4Q1BFxBSqJK,0,7/5/2018,miss,147.33401,-12.406,167.106,0.784,4,0.679,7,0.764,1,0.546,0.111,0.787,0.449,0,0.0979,0.159,0.572
Kandey Iralilla,3cx8q2ghhrj4crfimLWMJP,0,31/3/2018,miss,283.62957,-9.198,113.943,0.55,4,0.99,8,0.599,1,0.685,0.735,0.617,0.31,1.54E-05,0.0832,0.0297,0.228
Uttalakkadi,3eUyRzsgH4Vjraw3oVqVDg,0,4/9/2018,miss,218.63011,-7.96,145.973,0.078,4,1,7,0.742,1,0.634,0.0381,0.837,0.605,1.84E-05,0.232,0.327,0.418
Talli Tonight,3imW2DVyTs9qkiLD2V995i,5,27/2/2018,miss,224.54608,-2.957,127.923,0.854,4,0.981,6,0.351,0,0.448,0.245,0.822,0.866,0,0.309,0.0465,0.753
"Nain Na Jodeen (From ""Badhaai Ho"")",3ioC5rn1DWSsACtlVIagAT,35,4/10/2018,miss,274.10245,-6.283,78.015,0,4,0.718,2,0.541,1,0.665,0.507,0.586,0.504,1.32E-05,0.149,0.0347,0.36
Jaldi Se Aai Sherawali Mai,3johgaG7YFvNtTaqwFrM5D,0,19/3/2018,miss,325.09388,-2.428,74.952,0,4,1,9,0,1,0.04,0.108,0.492,0.995,0,0.864,0.285,0.389
Saiyaan,3lVNVAOuQ4M1uQiJLLffRi,1,7/5/2018,miss,232.00009,-5.015,89.997,0.07,4,1,8,0.486,1,0.698,0.179,0.67,0.828,7.45E-05,0.339,0.0868,0.338
Idhudhana Vithidhana,3lm3rvXw8QM8solt0iKOgk,0,29/8/2018,miss,280.42104,-6.25,142.383,0.751,3,0.644,4,0.173,1,0.241,0.667,0.59,0.586,2.79E-06,0.0714,0.0491,0.386
Sirf Tera Sahara Hai Mujhko,3noFaRVl2WXKDCVFX49Gmi,0,18/1/2018,miss,325.48499,-1.073,109.967,0.344,4,0.977,9,0.489,1,0.529,0.473,0.635,0.981,0,0.338,0.126,0.824
Roshomon Roshomon,3pNChrPyofZTtzacyL2f70,0,12/6/2018,miss,132.90476,-7.941,174.957,0.539,4,0.834,5,0.347,0,0.478,0.445,0.65,0.82,0.327,0.108,0.113,0.84
Raji Raji,3u2Uxt0qOz8XDfBcv82W2V,0,29/11/2018,miss,195.58399,-7.617,105.001,0.194,3,0.995,0,0.546,1,0.367,0.0994,0.53,0.777,0.76,0.0954,0.0508,0.457
"Bheete Nahin Rehna (Male) [From ""Raja Abroadiya""]",3t3Fq91UZuxKYAbv6nOtTG,0,3/3/2018,miss,142.96893,-7.294,165.321,0.098,3,0.97,1,0.196,1,0.275,0.835,0.491,0.473,0,0.212,0.032,0.366
Saath Tera,3tAy7S2EMIjmTvvAVAp0PD,0,18/9/2018,miss,217.86848,-4.605,165.734,0.473,4,0.908,1,0.2,1,0.486,0.437,0.478,0.801,0,0.133,0.0499,0.215
Monjulla,3txomADqqaTBzviSBVfiOx,0,25/7/2018,miss,276.67197,-5.251,99.952,0.377,4,0.988,5,0.431,0,0.449,0.288,0.631,0.735,0.000726,0.0854,0.0316,0.552
Mohabbat Bhari Raah Mein,3wydkR4xIuJ7jhjbqPw13c,0,18/1/2018,miss,231.39166,-0.745,80.042,0.539,4,1,4,0.346,1,0.39,0.43,0.62,0.812,0,0.38,0.0524,0.659
Yen Hudugi,3ySkTUjaCcoaCO637sGt0s,0,11/12/2018,miss,229.9658,-6.231,62.58,0.081,4,0.905,0,0.425,1,0.516,0.315,0.743,0.618,1.27E-05,0.0743,0.0496,0.613
Nikhara,3z8iW3uQ8JtEgB5exAyN1m,0,27/4/2018,miss,175.25551,-9.228,149.936,0.357,3,1,4,0.531,0,0.442,0.37,0.508,0.585,0,0.078,0.0622,0.486
Mizhi Mizhi,3zBvPmsArFQWEpJw2q6zo6,9,25/6/2018,miss,228.38712,-8.203,124.045,0.732,4,0.986,7,0.256,1,0.441,0.766,0.669,0.338,2.71E-05,0.118,0.0308,0.272
Sooryane,3zIpYkNt4ggbVqjKIXsW3r,16,26/1/2018,miss,254,-10.306,180.026,0.023,4,1,4,0.592,0,0.499,0.726,0.503,0.459,0.0353,0.101,0.0357,0.378
Mon Boleche,45ZTQl9GbmdM418qgLZvQZ,0,31/1/2018,miss,261.66667,-7.324,143.767,0.352,3,0.995,6,0.339,0,0.527,0.315,0.479,0.45,0,0.0624,0.0276,0.267
"Lo Safar (From ""Baaghi 2"")",45wzRgkkG5gjuYS3OkFWaI,35,13/3/2018,miss,282.02254,-9.562,90.933,0.429,4,0.912,7,0.333,0,0.445,0.856,0.527,0.469,0.00393,0.121,0.0247,0.403
Paalaksha,47H3l2vsl43GV1brGn9gTn,2,15/10/2018,miss,228,-8.281,142.398,0.659,3,1,10,0.588,0,0.594,0.517,0.562,0.617,6.04E-06,0.107,0.0353,0.497
Roj Roj Navyane,48N8fv7WBZeEwWAZtgyLvA,12,1/1/2018,miss,285.24975,-8.715,119.941,0.664,1,0.991,4,0.432,1,0.493,0.475,0.544,0.579,3.90E-05,0.141,0.0367,0.451
Mane Tu Bhuli Gai,48mofNu9j68zWLYpZ1tlLq,0,22/10/2018,miss,281.19365,-2.032,108.115,0.04,4,0.993,11,0.567,0,0.597,0.62,0.332,0.875,0,0.421,0.0557,0.52
Jigina Jigina,4BRKV0T8FdL8adVocEckta,0,22/10/2018,miss,234.85714,-15.014,105.021,0.46,3,1,4,0.693,0,0.62,0.694,0.824,0.564,0.000198,0.108,0.0519,0.906
"Prano Voriye Trisha Horiye - From ""Romantic Noy""",4C7lklsrK4jpIhKBnsiK7m,1,6/2/2018,miss,135.77642,-5.532,98.376,0.046,4,0.434,9,0.284,0,0.499,0.92,0.382,0.222,0,0.126,0.0347,0.322
"Adhugo - From ""Adhugo""",4CGtZ45OTqA23HN629xuJ4,0,17/9/2018,miss,137.00263,-2.51,109.962,0.504,4,1,7,0.439,0,0.391,0.257,0.855,0.789,3.11E-06,0.0709,0.103,0.93
Bang Bang Bengaluru - Version 1,4DGCQmMRLWi8vWifNs1u7C,0,20/4/2018,miss,280.44376,-7.829,72.979,0.296,4,1,10,0.121,0,0.483,0.397,0.81,0.834,0.000967,0.136,0.255,0.962
Nee Nanna Bhagavathgeethe,4ACEuJR2MXIusvdQdsteHJ,1,12/9/2018,miss,290.37315,-8.341,133.94,0.44,4,0.997,1,0.816,1,0.652,0.53,0.708,0.527,1.59E-05,0.0987,0.034,0.364
Ishq Tera,4BRiGWu7RNdZy7xEGqiV28,0,12/4/2018,miss,312.92594,-6.81,78.739,0.482,4,1,2,0.725,1,0.708,0.652,0.524,0.646,0,0.0981,0.0476,0.611
Pehle Hum Hi Kaiyini Nebaan,4CWp0IBhf2b3vnfoewsHDZ,0,24/4/2018,miss,201.97125,-4.668,165.242,0.481,4,1,5,0.541,0,0.48,0.0925,0.542,0.944,0,0.239,0.299,0.823
Following Madthane Chandhamama,4DjwvhxMeV4ieTVaaMmbgw,0,26/9/2018,miss,231.19147,-3.755,127.035,0.526,4,1,10,0.416,0,0.554,0.552,0.794,0.769,0,0.129,0.0382,0.789
Veera,4EFvoFSoek4Vx6Uub5AraK,33,3/4/2018,miss,204.74195,-4.85,99.961,0.395,4,1,5,0.578,0,0.605,0.327,0.834,0.839,0,0.0654,0.145,0.881
"Olot Palot (From ""Classroom"")",4FumE1WLopFkYqmPBZxIeQ,0,19/6/2018,miss,176.89655,-6.143,116.018,0.883,4,1,1,0,1,0.04,0.227,0.912,0.779,2.36E-06,0.0577,0.0453,0.859
Madana Murali,4GPjPUw9GZiPuT5QpJWA4k,0,4/6/2018,miss,214.72912,-5.84,101.528,0.334,1,0.968,8,0.829,1,0.469,0.661,0.679,0.677,0,0.145,0.0398,0.864
Lamba Lamba,4GQOqTdRixW7KKVs0CxIp1,10,6/1/2018,miss,136.1785,-5.812,140.004,0.838,4,1,1,0.117,1,0.252,0.29,0.872,0.841,0,0.364,0.258,0.61
Suriva Sonemale,4I9SwVkJHIKopsCrU5kicQ,0,3/5/2018,miss,280.7068,-5.134,85.007,0.17,4,1,11,0.982,1,0.745,0.61,0.638,0.784,3.34E-06,0.199,0.0416,0.577
Indradhanu,4JBWLB0FcFwA96uPtG5Idv,0,12/11/2018,miss,251.59751,-6.965,103.878,0.066,4,1,6,1,1,0.766,0.559,0.469,0.469,0.00939,0.0893,0.0557,0.721
Badhuku Jataka Bandi,4Jy5uMJaDimHk0mbm2wRDX,0,4/6/2018,miss,305.78236,-5.686,134.918,0.698,5,0.881,11,0.558,1,0.531,0.164,0.635,0.859,7.17E-06,0.296,0.0859,0.293
Aaja Kol Baija Soneya,4KeP8NvtrIjdRdymYBG36y,0,30/11/2018,miss,206.74998,-5.288,124.976,0.528,4,1,5,0.37,1,0.426,0.347,0.787,0.865,0,0.26,0.0512,0.86
Scriptu Baredonu,4L2Tl0M1iUX1pVc4WmCB4O,0,2/4/2018,miss,274.34517,-4.977,89.988,0.031,4,1,2,0,0,0.166,0.686,0.677,0.771,0,0.331,0.159,0.578
Momer Shohor,4MffIw5ofNSGqcygqlE2Y2,1,10/8/2018,miss,210.82195,-6.922,145.933,0.623,3,1,0,0.369,1,0.48,0.462,0.483,0.777,1.95E-05,0.141,0.0436,0.556
Cheruvai,4MsDVyLCIGSZkrjQavAZ1S,1,29/1/2018,miss,110,-17.194,143.99,0.555,3,1,1,0.493,1,0.383,0.6,0.523,0.263,0.0859,0.104,0.0313,0.333
Olavina Aase,4P3djxiCvqi6Fmvqfk5nxd,0,6/5/2018,miss,267.17424,-9.179,113.996,0.847,4,1,2,0.484,0,0.5,0.383,0.683,0.515,0.00012,0.0745,0.0278,0.601
Dhayaanchand,4Qmx1nR05yRBIG9viuAlsv,30,13/9/2018,miss,250.03519,-3.477,141.951,0.905,4,1,8,0.185,1,0.302,0.161,0.888,0.866,0.00566,0.0551,0.177,0.95
Tujhe Tujhe,4S03R0kSvYmVct6CTDJR7b,0,16/3/2018,miss,340.2439,-7.325,81.978,0.558,4,1,3,0.773,1,0.595,0.646,0.691,0.664,3.07E-06,0.0848,0.0517,0.542
Theeya Vazhiyile,4S2WbWaPNLGEuAnL6NgiWS,1,4/7/2018,miss,252.67692,-7.456,112.053,0.608,4,0.914,6,0.718,0,0.614,0.165,0.619,0.668,0.00837,0.107,0.0452,0.405
Prathi Janma,4S3nNeeBt6n7SCYix2ntbK,0,4/4/2018,miss,321.91302,-7.045,128.027,0.954,4,0.994,6,0.146,0,0.424,0.164,0.761,0.7,0.019,0.0932,0.0268,0.752
Chalo Jeete Hain,4S7LFA61SRHaP7AS5bia2d,2,23/7/2018,miss,236.41592,-11.988,130.092,0.282,3,0.948,8,0.524,0,0.499,0.737,0.604,0.281,1.11E-06,0.13,0.0297,0.0758
Amma Mela Sathiyam,4SNOcmB3DmLU14GGqAPhbq,20,13/6/2018,miss,252.34286,-7.304,87.568,0.12,4,1,9,0.368,0,0.339,0.234,0.373,0.784,0,0.0713,0.268,0.282
Nede Ho Ke Deykh,4TTVg9BCviqxpMUaeWEfh8,0,11/5/2018,miss,279,-9.862,115.941,0.927,4,1,8,0.403,0,0.41,0.0631,0.711,0.83,6.23E-06,0.108,0.0366,0.868
Yaayum,4Uh41d7PlFHP2gCinJEWlr,37,21/7/2018,miss,286.2,-7.257,200.163,0.287,3,0.906,10,0.635,0,0.817,0.893,0.398,0.363,7.85E-06,0.0932,0.0423,0.535
