id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
0GO8y8jQk1PkHzS31d699N,79,2011-09-02,1,218.01333,-5.835,112.96,0.931,4,0.985,3,0.428,1,0.541,0.00847,0.56,0.936,0.0,0.161,0.0439,0.371
7w87IxuO7BDcJ3YUqCyMTT,82,2011-05-23,1,239.6,-5.849,127.975,0.958,4,1.0,5,0.35100000000000003,0,0.516,0.145,0.733,0.71,0.115,0.0956,0.0292,0.965
4kflIGfjdZJW4ot2ioixTB,77,2011-01-19,1,285.04,-8.251,135.109,0.25,4,0.7490000000000001,9,0.35200000000000004,1,0.525,0.892,0.5589999999999999,0.33,0.0,0.0975,0.0285,0.285
6lanRgr6wXibZr8KgzXxBl,79,2011-10-18,1,285.12,-7.445,139.028,0.395,3,1.0,10,0.5660000000000001,1,0.607,0.309,0.421,0.407,0.000961,0.11,0.0267,0.161
05ZACkzW8YbRq3eFgIfSNB,73,2011-01-01,1,263.38667000000004,-5.935,104.023,0.305,4,0.961,2,0.701,1,0.7709999999999999,0.1,0.6920000000000001,0.809,9.77e-05,0.185,0.0255,0.927
2wAJTrFhCnQyNSD3oUgTZO,74,2011-09-27,1,235.32,-6.903,93.004,0.611,4,1.0,2,0.229,1,0.42,0.0531,0.831,0.4270000000000001,0.0,0.307,0.106,0.21600000000000005
4wCmqSrbyCgxEXROQE6vtV,73,2011-01-01,1,244.97333,-6.972,129.063,0.921,4,1.0,0,0.74,1,0.88,0.565,0.857,0.517,0.000195,0.102,0.0384,0.754
4Kz4RdRCceaA9VgTqBhBfa,73,2011,1,181.57333,-8.558,201.8,0.591,4,0.071,1,0.956,1,0.807,0.000107,0.7659999999999999,0.442,6.12e-05,0.111,0.35600000000000004,0.39
047fCsbO4NdmwCBn8pcUXl,73,2011,1,347.22667,-17.340999999999998,111.519,0.02,5,0.732,9,0.3720000000000001,0,0.476,0.6459999999999999,0.4920000000000001,0.26,0.00178,0.0705,0.0921,0.312
0yD66650JxhqKbW76C2qCo,71,2011-01-01,1,225.56,-4.532,105.97,0.909,4,0.92,2,0.523,1,0.556,0.0293,0.645,0.904,0.0,0.0834,0.0462,0.6709999999999999
0qOnSQQF0yzuPWsXrQ9paz,75,2011-11-11,1,210.96,-3.293,89.99,0.223,4,1.0,9,0.065,1,0.249,0.0319,0.6459999999999999,0.795,0.0,0.267,0.0976,0.7959999999999999
1z6WtY7X4HQJvzxC4UgkSf,76,2011,1,267.41333,-5.242000000000001,94.1,0.522,4,1.0,0,0.5760000000000001,1,0.49,0.0849,0.652,0.748,0.0,0.604,0.0887,0.652
5HQVUIKwCEXpe7JIHyY734,77,2011-10-11,1,207.33333,-6.425,95.078,0.122,4,1.0,0,0.464,1,0.395,0.0525,0.715,0.655,0.0,0.115,0.13699999999999998,0.531
0z5ZPs57J2KERwM1tBM2GF,70,2011-01-01,1,248.58667000000003,-5.4289999999999985,79.119,0.092,4,1.0,2,0.8009999999999999,1,0.6579999999999999,0.0007070000000000001,0.365,0.7509999999999999,0.0,0.318,0.304,0.604
2i0AUcEnsDm3dsqLrFWUCq,73,2011-11-25,1,200.46667,-4.977,99.978,0.379,4,1.0,4,0.644,1,0.458,0.0764,0.6859999999999999,0.7829999999999999,0.0,0.163,0.119,0.8140000000000001
6LxSe8YmdPxy095Ux6znaQ,72,2011,1,235.98667000000003,-7.16,151.894,0.261,4,0.967,6,0.388,0,0.465,0.365,0.636,0.5660000000000001,0.000353,0.0917,0.106,0.425
3ts6xK5GzfMAAriT9AIBmP,70,2011-08-26,1,167.42667,-4.6789999999999985,172.016,0.412,4,0.987,4,0.835,1,0.422,0.208,0.6,0.8079999999999999,0.0,0.196,0.0403,0.809
799f6Ih1Pu4AUApMyXhxUc,70,2011-11-15,1,192.94667,-6.044,161.808,0.043,4,0.972,8,0.202,1,0.426,0.0594,0.506,0.745,0.0,0.341,0.331,0.311
3CKCZ9pfwAfoMZlMncA1Nc,73,2011-01-19,1,241.69333,-3.879,108.003,0.8190000000000001,4,0.848,2,0.777,0,0.72,0.003820000000000001,0.61,0.6829999999999999,1.79e-06,0.125,0.0253,0.466
1CkvWZme3pRgbzaxZnTl5X,73,2011-01-19,1,228.29333,-5.119,104.945,0.335,4,0.969,8,0.768,1,0.65,0.131,0.7290000000000001,0.7559999999999999,0.0,0.0527,0.0294,0.522
1uXbwHHfgsXcUKfSZw5ZJ0,75,2011,1,236.09333,-4.237,127.086,0.851,4,1.0,0,0.795,1,0.5820000000000001,0.00496,0.733,0.899,4.72e-05,0.3720000000000001,0.14300000000000002,0.76
4osgfFTICMkcGbbigdsa53,70,2011-01-01,1,302.34667,-9.208,93.505,0.499,4,1.0,3,0.653,1,0.58,0.0726,0.764,0.509,0.000603,0.162,0.104,0.383
4RL77hMWUq35NYnPLXBpih,74,2011-11-04,1,201.08,-8.485,166.467,0.08,4,0.335,4,0.38,1,0.508,0.952,0.379,0.29,0.00106,0.118,0.051,0.16899999999999998
0HZhYMZOcUzZKSFwPOti6m,73,2011-05-10,1,246.58698,-6.142,74.541,0.199,4,0.672,3,0.6809999999999999,1,0.735,0.726,0.349,0.348,0.0,0.12,0.0316,0.0886
124NFj84ppZ5pAxTuVQYCQ,72,2011,1,277.38667000000004,-10.358,121.845,0.5489999999999999,4,0.988,0,0.385,0,0.552,0.0267,0.629,0.515,1.22e-05,0.0888,0.265,0.299
1VdZ0vKfR5jneCmWIUAMxK,76,2011-09-09,1,258.37332999999995,-9.918,84.99600000000002,0.462,4,1.0,9,0.65,1,0.6629999999999999,0.669,0.642,0.289,0.0,0.18,0.0367,0.407
3hsmbFKT5Cujb5GQjqEU39,71,2011-03-22,1,222.58667000000003,-6.127999999999999,146.155,0.02,4,0.984,11,0.518,0,0.314,0.0339,0.767,0.677,5.51e-06,0.14400000000000002,0.184,0.5379999999999999
6nek1Nin9q48AVZcWs9e9D,77,2011-10-24,1,278.71909,-6.7620000000000005,139.627,0.7140000000000001,4,0.959,5,0.508,1,0.409,0.0522,0.449,0.585,8.49e-05,0.0833,0.0268,0.203
2MYl0er3UZ1RlKwRb5LODh,70,2011-07-02,1,215.5093,-6.882999999999999,157.74,0.146,4,1.0,9,0.409,1,0.365,0.33,0.609,0.799,0.0,0.108,0.24,0.5820000000000001
6qn9YLKt13AGvpq9jfO8py,73,2011-11-18,1,215.22667,-4.485,127.986,0.833,4,1.0,1,0.256,1,0.459,0.025,0.7340000000000001,0.7659999999999999,0.0013800000000000002,0.108,0.0383,0.6
5A6OHHy73AR5tLxgTc98zz,73,2011-03-29,1,217.66667,-4.524,164.02,0.34,4,0.852,2,0.248,0,0.229,0.0646,0.684,0.8340000000000001,0.0,0.271,0.0675,0.5379999999999999
0Tel1fmuCxEFV6wBLXsEdk,74,2011-09-09,1,280.85333,-16.67,74.993,0.086,4,1.0,2,0.517,1,0.691,0.64,0.589,0.227,0.00469,0.0248,0.0498,0.182
4QNpBfC0zvjKqPJcyqBy9W,75,2011-06-17,1,252.30667000000003,-3.2060000000000004,129.023,0.7829999999999999,4,1.0,8,0.098,1,0.285,0.192,0.6709999999999999,0.939,0.0,0.298,0.161,0.529
0laYHRpNTS6i8FXdupHkJ4,74,2011-01-01,1,188.45333,-3.87,117.009,0.945,4,1.0,1,0.586,0,0.7070000000000001,0.0761,0.858,0.6779999999999999,0.0,0.0741,0.0469,0.922
3lBRNqXjPp2j3JMTCXDTNO,72,2011,1,253.74667,-4.062,99.099,0.215,4,1.0,6,0.591,1,0.475,0.14300000000000002,0.545,0.649,1.57e-05,0.0894,0.0324,0.297
3TcL0dyCMyr0kyTTc4NLgI,72,2011-01-01,1,195.61333,-2.915,101.019,0.21,4,1.0,4,0.238,1,0.379,0.0843,0.682,0.927,0.0,0.149,0.0479,0.7440000000000001
5G1sTBGbZT5o4PNRc75RKI,71,2011-12-06,1,193.65333,-7.8370000000000015,166.3,0.47,4,1.0,2,0.701,1,0.545,0.00417,0.35600000000000004,0.872,0.00975,0.0997,0.068,0.607
70ATm56tH7OrQ1zurYssz0,71,2011-02-01,1,283.73333,-4.3889999999999985,155.968,0.016,4,1.0,3,0.307,1,0.395,0.0996,0.591,0.934,1.81e-06,0.348,0.4370000000000001,0.452
0SuG9kyzGRpDqrCWtgD6Lq,74,2011-09-09,1,526.38667,-9.864,116.068,0.057,4,0.637,1,0.489,1,0.273,0.6940000000000001,0.526,0.328,0.0,0.112,0.0461,0.11
6YS1MXqso0zlmcL4OV1kXk,71,2011-05-02,1,160.06667,-30.245,119.263,0.035,4,0.71,0,0.0,1,0.152,0.99,0.377,0.0239,0.882,0.0998,0.0403,0.0629
2z4U9d5OAA4YLNXoCgioxo,70,2011-03-08,1,220.70667000000003,-3.689,149.976,0.8340000000000001,4,1.0,6,0.0,0,0.317,0.00472,0.578,0.926,0.0127,0.14,0.0548,0.877
2uhEKg8kIzpdvz4gyy6x8W,72,2011-01-01,1,249.17333,-9.941,80.40100000000002,0.443,4,0.997,8,0.249,1,0.46,0.3,0.545,0.485,0.00137,0.119,0.151,0.341
4fINc8dnfcz7AdhFYVA4i7,70,2011-09-16,1,192.2,-4.7360000000000015,91.993,0.247,4,1.0,1,0.222,0,0.452,0.0165,0.6679999999999999,0.718,0.0,0.104,0.0605,0.345
0UeYCHOETPfai02uskjJ3x,71,2011-01-01,1,235.81333,-6.187,124.962,0.6459999999999999,4,1.0,11,0.491,1,0.494,0.0933,0.634,0.711,0.0309,0.0823,0.0457,0.451
3CAX47TnPqTujLIQTw8nwI,70,2011-01-01,1,328.5066700000001,-10.836,129.56799999999998,0.013,4,0.6829999999999999,5,0.332,1,0.3,0.45,0.401,0.364,0.0503,0.162,0.033,0.224
