name,id,popularity,release_date,hit_miss,duration,key,key_confidence,loudness,mode,mode_confidence,tempo,tempo_confidence,time_signature,time_signature_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Blue Ain't Your Color,6wycnu8FWXsj68ig7BEot9,72,6/5/16,hit,230.6,7,0.735,-7.787,1,0.674,82.407,0.393,3,0.694,0.606,0.686,0.417,1.79E-06,0.0844,0.0363,0.451
Come and See Me (feat. Drake),1wZqJM5FGDEl3FjHDxDyQd,74,12/8/16,hit,235.47746,11,0.234,-10.265,0,0.492,84.987,0.131,4,1,0.0511,0.717,0.347,2.43E-06,0.087,0.0636,0.0589
Jungle,5uZm7EFtP5aoTJvx5gv9Xf,73,16/9/16,hit,174.19202,7,0.096,-11.063,0,0.308,180.274,0.146,4,0.971,0.308,0.538,0.52,0,0.214,0.737,0.551
ocean eyes,2uIX8YMNjGMD7441kqyyNU,72,18/11/16,hit,200.56,4,0.481,-7.725,0,0.556,144.828,0.174,4,1,0.819,0.475,0.37,0.0577,0.0841,0.0361,0.157
My Shit,5uQOauh47VFt3B2kV9kRXw,72,16/9/16,hit,128.15673,5,0.692,-8.3,1,0.54,77.998,0.233,4,1,0.244,0.812,0.621,0,0.099,0.0515,0.847
Dirt On My Boots,7f08qp3HROTkfrtNpiYGGo,72,13/5/16,hit,201.89333,11,0.49,-4.152,1,0.514,90.008,0.103,4,0.993,0.116,0.685,0.783,0,0.194,0.0276,0.525
PILLOWTALK,0PDUDa38GO8lMxLCRc4lL1,78,25/3/16,hit,202.74667,11,0.752,-4.275,1,0.719,124.944,0.525,4,1,0.117,0.584,0.7,0,0.0939,0.0456,0.438
Love Myself,36phXHOKx8rO7CMp2vNX4x,76,26/2/16,hit,218.77333,0,0.426,-6.785,0,0.469,122.925,0.906,4,0.984,0.0026,0.617,0.759,0,0.419,0.0677,0.324
Million Reasons,7dZ1Odmx9jWIweQSatnRqo,82,21/10/16,hit,205.28,0,0.622,-7.838,1,0.627,129.911,0.202,4,1,0.437,0.665,0.424,0,0.107,0.0444,0.134
Both (feat. Drake),5tFep7dXGd7vEJ668wTPux,74,16/12/16,hit,190.31197,7,0.282,-7.509,0,0.108,139.976,0.678,4,1,0.119,0.85,0.405,0.000118,0.0707,0.225,0.344
Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,82,5/8/16,hit,205.94667,8,0.412,-5.311,1,0.59,100.023,0.124,4,1,0.0771,0.652,0.713,1.02E-05,0.144,0.0368,0.152
May We All,498ZVInMGDkmmNVpSWqHiZ,72,26/8/16,hit,226.17333,7,0.449,-4.306,1,0.673,150.033,0.1,4,1,0.0406,0.488,0.915,0,0.351,0.0389,0.646
Juke Jam (feat. Justin Bieber & Towkio),3eze1OsZ1rqeXkKStNfTmi,73,27/5/16,hit,219.68336,5,0,-9.349,1,0.192,95.063,0.023,1,0.183,0.716,0.505,0.397,0,0.0853,0.324,0.558
"Sit Still, Look Pretty",0EGuSSpuu9wmHCtvb4PdLO,71,7/10/16,hit,202.22118,2,0.764,-4.081,1,0.72,181.994,0.206,4,1,0.141,0.657,0.739,0,0.178,0.274,0.543
Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,70,8/4/16,hit,160.09746,5,0.486,-6.519,1,0.53,76.023,0.368,4,0.286,0.613,0.664,0.573,0.000363,0.0857,0.0277,0.566
Do What I Want,4IWGnyOHDrVZEtPWfs4s7q,72,10/8/16,hit,175.20327,9,0.222,-6.336,1,0.444,139.952,0.786,4,1,0.106,0.681,0.701,0,0.208,0.0767,0.398
I Took A Pill In Ibiza - Seeb Remix,1MtUq6Wp1eQ8PC6BbPCj8P,74,6/5/16,hit,197.93333,7,0.562,-6.647,0,0.633,101.965,0.741,4,1,0.0353,0.663,0.713,7.68E-06,0.0843,0.112,0.69
Too Young,4SYUUlkScpNR1QvPscXf8t,76,9/12/16,hit,237.14667,4,0,-6.526,0,0.066,123.05,0.4,4,1,0.271,0.602,0.635,3.20E-05,0.0829,0.052,0.225
Any Ol' Barstool,4T5Z4mbTe7kuGqgLpaRtTh,70,9/9/16,hit,203.29333,4,0.535,-4.163,1,0.586,143.78,0.817,4,0.989,0.312,0.536,0.722,0,0.117,0.0284,0.499
Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,74,10/6/16,hit,135.92,7,0.43,-4.408,1,0.53,113.074,0.654,4,0.851,0.142,0.714,0.566,1.25E-06,0.57,0.056,0.449
pick up the phone,20dP2DaMHIAmwWAbp7peSr,74,16/9/16,hit,252.2561,7,0.596,-3.804,0,0.688,136.919,0.88,4,1,0.114,0.711,0.739,0,0.226,0.129,0.43
Waves,3nAq2hCr1oWsIU54tS98pL,73,10/6/16,hit,181.57333,10,0.809,-4.454,1,0.598,96.072,0.282,4,1,0.0363,0.386,0.587,3.71E-06,0.332,0.0519,0.0565
Lights Down Low,5A6BJLZArq1MPjsnmcuk5f,70,8/4/16,hit,223.84698,5,0.324,-7.727,0,0.435,81.019,0.237,4,0.993,0.0632,0.623,0.493,0,0.104,0.0338,0.594
Good as Hell,6uAm7pG66O1XesXS9bpHSF,73,11/3/16,hit,159.0112,0,0.436,-3.187,0,0.416,95.985,0.097,4,1,0.285,0.684,0.905,0,0.525,0.0765,0.492
How Far I'll Go - Alessia Cara Version,1ehPJRt49h6N0LoryqKZXq,72,18/11/16,hit,175.50667,9,0.008,-9.629,1,0.036,180.994,0.265,4,1,0.124,0.317,0.562,0.000144,0.0667,0.395,0.132
This Is What You Came For,0azC730Exh71aQlOt9Zj3y,80,29/4/16,hit,222.16,9,0.461,-2.787,0,0.481,123.963,0.685,4,1,0.199,0.63,0.928,0.124,0.148,0.0331,0.465
beibs in the trap,0ESJlaM8CE1jRWaNtwSNj8,73,16/9/16,hit,213.86304,7,0.513,-6.054,0,0.286,119.054,0.363,4,0.929,0.24,0.743,0.571,0,0.291,0.145,0.495
Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX,78,28/10/16,hit,246.88,11,0.655,-6.164,1,0.689,107.969,0.505,4,0.983,0.308,0.696,0.543,0,0.0939,0.0489,0.479
Deja Vu,6I6NX6tjGsxFAsIfGzY9lJ,73,9/12/16,hit,264.74667,9,0.328,-11.446,1,0.348,174.324,0.022,4,0.901,0.361,0.653,0.409,0.00012,0.189,0.421,0.187
When We Were Young,7IWkJwX9C0J7tHurTD7ViL,73,24/6/16,hit,290.90667,3,0.465,-5.97,1,0.533,143.86,0.222,4,0.989,0.348,0.381,0.594,0,0.0925,0.0486,0.273
When You Love Someone,1o6YK7phnXgsljfWSQQfWc,80,15/4/16,hit,216.37333,7,0.578,-6.067,1,0.693,125.884,0.734,4,0.96,0.248,0.675,0.444,0,0.0531,0.028,0.356
Versace on the Floor,0kN8xEmgMW9mh7UmDYHlJP,78,17/11/16,hit,261.24,2,0.345,-6.209,1,0.552,174.152,0.271,4,0.976,0.196,0.578,0.574,0,0.083,0.0454,0.301
Self Control,5GUYJTQap5F3RDQiCOJhrS,73,20/8/16,hit,249.66789,8,0.344,-10.413,1,0.537,80.069,0.225,4,0.471,0.765,0.572,0.209,0,0.356,0.0313,0.446
May We All,498ZVInMGDkmmNVpSWqHiZ,72,26/8/16,hit,226.17333,7,0.449,-4.306,1,0.673,150.033,0.1,4,1,0.0406,0.488,0.915,0,0.351,0.0389,0.646
Juke Jam (feat. Justin Bieber & Towkio),3eze1OsZ1rqeXkKStNfTmi,73,27/5/16,hit,219.68336,5,0,-9.349,1,0.192,95.063,0.023,1,0.183,0.716,0.505,0.397,0,0.0853,0.324,0.558
"Sit Still, Look Pretty",0EGuSSpuu9wmHCtvb4PdLO,71,7/10/16,hit,202.22118,2,0.764,-4.081,1,0.72,181.994,0.206,4,1,0.141,0.657,0.739,0,0.178,0.274,0.543
Ophelia,3d8y0t70g7hw2FOWl9Z4Fm,70,8/4/16,hit,160.09746,5,0.486,-6.519,1,0.53,76.023,0.368,4,0.286,0.613,0.664,0.573,0.000363,0.0857,0.0277,0.566
Do What I Want,4IWGnyOHDrVZEtPWfs4s7q,72,10/8/16,hit,175.20327,9,0.222,-6.336,1,0.444,139.952,0.786,4,1,0.106,0.681,0.701,0,0.208,0.0767,0.398
I Took A Pill In Ibiza - Seeb Remix,1MtUq6Wp1eQ8PC6BbPCj8P,74,6/5/16,hit,197.93333,7,0.562,-6.647,0,0.633,101.965,0.741,4,1,0.0353,0.663,0.713,7.68E-06,0.0843,0.112,0.69
Too Young,4SYUUlkScpNR1QvPscXf8t,76,9/12/16,hit,237.14667,4,0,-6.526,0,0.066,123.05,0.4,4,1,0.271,0.602,0.635,3.20E-05,0.0829,0.052,0.225
Any Ol' Barstool,4T5Z4mbTe7kuGqgLpaRtTh,70,9/9/16,hit,203.29333,4,0.535,-4.163,1,0.586,143.78,0.817,4,0.989,0.312,0.536,0.722,0,0.117,0.0284,0.499
Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,74,10/6/16,hit,135.92,7,0.43,-4.408,1,0.53,113.074,0.654,4,0.851,0.142,0.714,0.566,1.25E-06,0.57,0.056,0.449
pick up the phone,20dP2DaMHIAmwWAbp7peSr,74,16/9/16,hit,252.2561,7,0.596,-3.804,0,0.688,136.919,0.88,4,1,0.114,0.711,0.739,0,0.226,0.129,0.43
Waves,3nAq2hCr1oWsIU54tS98pL,73,10/6/16,hit,181.57333,10,0.809,-4.454,1,0.598,96.072,0.282,4,1,0.0363,0.386,0.587,3.71E-06,0.332,0.0519,0.0565
Lights Down Low,5A6BJLZArq1MPjsnmcuk5f,70,8/4/16,hit,223.84698,5,0.324,-7.727,0,0.435,81.019,0.237,4,0.993,0.0632,0.623,0.493,0,0.104,0.0338,0.594
Good as Hell,6uAm7pG66O1XesXS9bpHSF,73,11/3/16,hit,159.0112,0,0.436,-3.187,0,0.416,95.985,0.097,4,1,0.285,0.684,0.905,0,0.525,0.0765,0.492
Ain't Nobody Takin My Baby,6VnqGxiMNexOe0kRmIsBw4,74,23/12/16,hit,189.23102,0,0.574,-9.084,1,0.539,76.976,0.068,4,0.947,0.673,0.696,0.57,3.02E-06,0.098,0.557,0.329
How Far I'll Go - Alessia Cara Version,1ehPJRt49h6N0LoryqKZXq,72,18/11/16,hit,175.50667,9,0.008,-9.629,1,0.036,180.994,0.265,4,1,0.124,0.317,0.562,0.000144,0.0667,0.395,0.132
This Is What You Came For,0azC730Exh71aQlOt9Zj3y,80,29/4/16,hit,222.16,9,0.461,-2.787,0,0.481,123.963,0.685,4,1,0.199,0.63,0.928,0.124,0.148,0.0331,0.465
beibs in the trap,0ESJlaM8CE1jRWaNtwSNj8,73,16/9/16,hit,213.86304,7,0.513,-6.054,0,0.286,119.054,0.363,4,0.929,0.24,0.743,0.571,0,0.291,0.145,0.495
Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX,78,28/10/16,hit,246.88,11,0.655,-6.164,1,0.689,107.969,0.505,4,0.983,0.308,0.696,0.543,0,0.0939,0.0489,0.479
Deja Vu,6I6NX6tjGsxFAsIfGzY9lJ,73,9/12/16,hit,264.74667,9,0.328,-11.446,1,0.348,174.324,0.022,4,0.901,0.361,0.653,0.409,0.00012,0.189,0.421,0.187
When We Were Young,7IWkJwX9C0J7tHurTD7ViL,73,24/6/16,hit,290.90667,3,0.465,-5.97,1,0.533,143.86,0.222,4,0.989,0.348,0.381,0.594,0,0.0925,0.0486,0.273
When You Love Someone,1o6YK7phnXgsljfWSQQfWc,80,15/4/16,hit,216.37333,7,0.578,-6.067,1,0.693,125.884,0.734,4,0.96,0.248,0.675,0.444,0,0.0531,0.028,0.356
Versace on the Floor,0kN8xEmgMW9mh7UmDYHlJP,78,17/11/16,hit,261.24,2,0.345,-6.209,1,0.552,174.152,0.271,4,0.976,0.196,0.578,0.574,0,0.083,0.0454,0.301
Self Control,5GUYJTQap5F3RDQiCOJhrS,73,20/8/16,hit,249.66789,8,0.344,-10.413,1,0.537,80.069,0.225,4,0.471,0.765,0.572,0.209,0,0.356,0.0313,0.446
My Favorite Part,66wkCYWlXzSTQAfnsPBptt,75,16/9/16,hit,216,6,0.629,-7.194,1,0.65,95.016,0.953,4,0.976,0.627,0.861,0.33,1.93E-06,0.14,0.0526,0.718
Don't Threaten Me With A Good Time,2fh3bZ8jZhMxOcfESE9nQY,74,15/1/16,hit,213.09333,1,0.477,-4.476,0,0.575,183.825,0.069,4,0.132,0.0154,0.559,0.895,0,0.175,0.0832,0.59
Ps & Qs,1gGsNNUfvVMOv4llVMg8Vg,71,27/5/16,hit,221.53846,11,0.442,-11.332,0,0.508,129.829,0.194,4,1,0.235,0.522,0.428,2.35E-06,0.278,0.143,0.399
Never Be Like You (feat. Kai),5WI2ltQIdwgzf1SNE76JyR,70,27/5/16,hit,234.90957,0,0.545,-5.476,1,0.574,115.058,0.051,4,0.887,0.453,0.444,0.557,0,0.152,0.0602,0.296
O Come to the Altar (Live),1lEk3U3MzbDeL5MNHkE9JU,72,5/2/16,hit,349.58667,11,0.282,-6.496,1,0.495,139.914,0.271,3,0.986,0.00274,0.256,0.564,0,0.743,0.0366,0.152
No Heart,4gmmRb6bZJffOOiww1JGTO,73,15/7/16,hit,235.04,4,0.56,-8.692,0,0.43,140.063,0.83,4,1,0.136,0.906,0.444,6.44E-05,0.173,0.384,0.678
Famous,19a3JfW8BQwqHWUMbcqSx8,75,10/6/16,hit,196.04,6,0.596,-3.69,1,0.628,174.1,0.267,4,0.976,0.0602,0.474,0.741,0,0.115,0.111,0.402
Deja Vu,0H8XeaJunhvpBdBFIYi6Sh,74,9/12/16,hit,234.21333,7,0.756,-6.508,1,0.732,133.935,0.555,4,0.882,0.0931,0.62,0.69,0,0.131,0.0493,0.331
Hotline Bling,0wwPcA6wtMf6HUMpIRdeP7,78,6/5/16,hit,267.06667,2,0.505,-8.132,1,0.219,134.969,0.923,4,0.974,0.00302,0.903,0.621,0.000186,0.0504,0.0578,0.553
Lover Is a Day,76tGvMdmFKuiMew33ZNNA9,72,9/7/16,hit,456,3,0.474,-10.453,1,0.523,180.044,0.205,4,0.986,0.0427,0.406,0.647,0.193,0.1,0.0413,0.344
One Night,40yJGQyEaBbIkXpwMFkXip,72,5/7/16,hit,243.26984,0,0.847,-12.686,1,0.681,130.007,0.412,4,0.94,0.366,0.762,0.476,0,0.103,0.114,0.375
Money Made Me Do It,1ysAvOdJgUjc6CqOQxepaz,73,9/12/16,hit,224.96,7,0.171,-6.511,1,0.321,83.022,0.174,4,1,0.305,0.734,0.429,0,0.0659,0.16,0.372
Emperor's New Clothes,3px2rAPu74ltbkf9eZsZ8h,74,15/1/16,hit,158.66667,1,0.135,-4.947,1,0.358,94.481,0.381,4,0.764,0.00302,0.562,0.904,0,0.0433,0.0807,0.651
Really Really,10I3CmmwT0BkOVhduDy53o,70,29/1/16,hit,232.09333,0,0.575,-6.055,1,0.64,118.97,0.1,4,1,0.00427,0.762,0.666,0,0.127,0.0916,0.278
Close,3lSDIJ2abCrOdDJ6pshUap,74,10/6/16,hit,234.21333,6,0.379,-5.273,0,0.611,123.999,0.479,4,1,0.253,0.653,0.623,0,0.144,0.082,0.401
Easily,3TpXajg1nKzG3ngc9tBwrD,72,25/11/16,hit,210.24,7,0.472,-8.545,0,0.459,118.902,0.74,3,0.806,0.491,0.772,0.256,0.00612,0.144,0.0481,0.357
Please Notice,36seMHoyXmLUNxcwzwjdF7,73,1/7/16,hit,116.66667,2,0.287,-8.451,1,0.462,111.344,0.684,4,0.814,0.843,0.55,0.271,3.21E-06,0.107,0.0297,0.198
I Feel It Coming,3dhjNA0jGA8vHBQ1VdD6vV,81,25/11/16,hit,269.18667,0,0.348,-5.946,0,0.557,92.99,0.518,4,1,0.426,0.773,0.819,0,0.0679,0.118,0.585
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",2FrnTVSHjgnEylKGdHRUK1,76,26/8/16,hit,279.27615,2,0.157,-5.657,0,0.303,117.955,0.676,4,1,0.0971,0.805,0.582,0,0.163,0.0627,0.307
Cheap Thrills,3S4px9f4lceWdKf0gWciFu,73,21/10/16,hit,211.66667,6,0.448,-5.608,0,0.68,89.976,0.001,4,1,0.0472,0.628,0.698,0.00143,0.0907,0.105,0.732
Can't Help Falling in Love,6yIHGmQLJxWAUZ1ZkENemN,76,29/4/16,hit,173.17474,0,0.527,-13.918,1,0.735,137.97,0.026,4,0.892,0.947,0.41,0.0485,0,0.108,0.038,0.247
Say It,2Gyc6e2cLxA5hoX1NOvYnU,72,19/8/16,hit,237.78667,11,0.37,-10.511,0,0.507,107.331,0.209,4,1,0.0862,0.546,0.529,6.50E-06,0.124,0.0583,0.247
Way Down We Go,0y1QJc3SJVPKJ1OvFmFqe6,76,10/6/16,hit,213.70667,10,0.64,-8.022,0,0.537,163.255,0.015,4,0.491,0.579,0.489,0.505,0.000333,0.104,0.117,0.337
Dang! (feat. Anderson .Paak),5iUQMwxUPdJBFeGkePtM66,74,16/9/16,hit,305.35002,5,0.28,-6.907,0,0.424,107.018,0.575,4,1,0.00826,0.836,0.67,0.000355,0.0837,0.23,0.556
Blood Sweat & Tears,5RGf8qn1TBWVplLyyKUsuV,77,10/10/16,hit,217.05193,0,0.668,-3.571,0,0.577,92.959,0.379,4,1,0.0244,0.583,0.885,0,0.357,0.106,0.601
Cold Water,7zsXy7vlHdItvUSH8EwQss,71,22/7/16,hit,185.36,6,0.193,-5.084,0,0.569,92.928,0.193,4,1,0.055,0.602,0.797,0,0.187,0.0534,0.492
Tiimmy Turner,3NJG6vMH1ZsectZkocMEm0,74,22/7/16,hit,239.85333,6,0.714,-3.054,1,0.639,122.803,0.522,4,0.971,0.174,0.602,0.725,0,0.0786,0.0393,0.304
Middle,0g5EKLgdKvNlln7TNqBByK,78,5/8/16,hit,220.57333,1,0.135,-5.326,0,0.435,104.957,0.468,4,1,0.0203,0.586,0.701,0,0.055,0.0416,0.254
Capsize,2XMTqoHHSH0lvuXrvIEdco,75,2/9/16,hit,237.70667,5,0,-6.244,0,0.169,92.991,0.125,4,1,0.0398,0.683,0.708,0.155,0.686,0.0305,0.355
Middle of a Memory,38gZVjeaeR3gcnCzziAxBm,70,6/5/16,hit,226.30667,11,0.591,-4.228,1,0.612,139.788,0.5,4,0.854,0.0972,0.531,0.746,0,0.102,0.0329,0.304
Nikes,19YKaevk2bce4odJkP5L22,72,20/8/16,hit,314.07506,8,0.245,-9.637,1,0.357,137.811,0.368,4,1,0.695,0.543,0.394,0.000239,0.108,0.0864,0.118
"God, Your Mama, And Me",4VFE6ZNqa8jHAmbYICoAFg,70,26/8/16,hit,183.41333,7,0.629,-3.729,1,0.738,168.1,0.186,4,1,0.333,0.439,0.802,0,0.377,0.054,0.725
Corduroy Dreams,02tvc9CFnTyHuSRlGeNv9w,73,7/11/16,hit,206.97474,4,0.764,-14.037,1,0.613,113.818,0.253,4,0.64,0.653,0.61,0.305,0,0.103,0.053,0.222
Big Lie,02opp1cycqiFNDpLd2o1J3,73,9/12/16,hit,207.68,6,0.304,-4.888,0,0.584,170.862,0.271,4,0.927,0.191,0.442,0.684,0,0.0725,0.168,0.218
Ultralight Beam,1eQBEelI2NCy7AUTerX0KS,72,10/6/16,hit,320.68,8,0.502,-8.714,1,0.693,107.425,0.093,4,0.986,0.637,0.596,0.393,0,0.539,0.383,0.36
Say You Won't Let Go,1Pw5C4N6Fn5E4mGCxmbbVa,79,9/9/16,hit,211.24,10,0.319,-7.444,1,0.435,99.269,0.119,4,0.99,0.693,0.4,0.564,0,0.0863,0.0523,0.483
2 Phones,0wdKiSBUT7aZkXUIdJWcwC,71,29/1/16,hit,240,7,0.413,-5.267,0,0.421,121.918,0.663,4,1,0.157,0.895,0.681,0,0.189,0.358,0.554
LA Devotee,2fmCA13dwQQOGBIbIOWRiJ,72,15/1/16,hit,196.52,9,0,-5.05,1,0.059,175.998,0.552,4,0.948,0.00043,0.49,0.848,8.49E-06,0.0665,0.0645,0.698
Go Fuck Yourself,4NZrZgrRoR4GwR7flWOXRI,79,29/7/16,hit,129.59986,6,0,-8.029,1,0.031,74.931,0.415,4,0.807,0.571,0.765,0.327,0.0479,0.0787,0.277,0.292
Patient,5DLTuH4A5VZB2HKpqHQR6t,74,9/12/16,hit,194.33333,5,0.199,-6.108,0,0.415,89.975,0.078,4,1,0.565,0.743,0.662,0,0.128,0.179,0.552
Party Monster,4F7A0DXBrmUAkp32uenhZt,73,25/11/16,hit,249.21333,1,0.621,-8.389,1,0.642,77.519,0.253,4,1,0.188,0.572,0.631,2.31E-05,0.259,0.104,0.219
Soy Peor,5MT96Zz0ymUJNm8obKZQr0,74,8/12/16,hit,257.32757,0,0.662,-3.15,0,0.793,115.942,0.419,4,0.429,0.679,0.732,0.605,0.0029,0.114,0.086,0.143
Gente De Accionar,3ZpajXo0KgjHw5WSMMIDfy,73,9/12/16,hit,172.29791,0,0.111,-5.368,0,0.33,175.036,0.692,3,0.998,0.224,0.586,0.823,0,0.174,0.232,0.79
Reminder,37F0uwRSrdzkBiuj0D5UHI,74,25/11/16,hit,218.88,8,0.866,-6.923,1,0.756,160.043,0.111,4,1,0.142,0.705,0.505,0,0.164,0.192,0.391
Same Drugs,6m9qPYXmhge2QhBLfFKnVF,70,27/5/16,hit,257.77501,6,0.549,-9.52,1,0.601,180.297,0.014,4,0.925,0.947,0.461,0.293,9.95E-06,0.0936,0.0555,0.531
Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,81,21/10/16,hit,251.08816,9,0.396,-4.068,0,0.525,101.965,0.46,4,1,0.406,0.72,0.763,0,0.18,0.0523,0.742
Victorious,6od5hFv9IT5JHc7NEF9HRv,72,15/1/16,hit,178.6,8,0.468,-4.518,1,0.631,110.01,0.615,4,1,0.00205,0.57,0.865,0,0.404,0.0472,0.691
Ex Calling,1MQ8ydvrTnn2QJgXFATJvD,72,18/11/16,hit,211.96,1,0.015,-7.241,1,0.359,155.976,0.537,4,1,0.00561,0.773,0.564,1.99E-05,0.213,0.249,0.0588
Gold,6ZSO7kPn8IMJFymyticbJO,72,22/3/16,hit,225.88236,8,0.021,-9.343,1,0.16,113.049,0.244,5,0.985,0.615,0.6,0.412,0.0025,0.134,0.344,0.408
Too Many Years,0BU7nIcCZxYSE0hYcc5oZz,70,10/6/16,hit,196.33633,8,0.625,-6.859,0,0.506,147.067,0.648,4,0.972,0.0237,0.665,0.706,0,0.112,0.0958,0.632
BOOMBAYAH,3yHQKddM8SVCRnuPSo3HPN,78,8/8/16,hit,240.84898,5,0.824,-3.282,0,0.747,124.969,0.624,4,1,0.00264,0.658,0.836,1.02E-06,0.507,0.0549,0.387
Tremble - Live,35GACeX8Zl55jp29xFbvvo,70,16/9/16,hit,309.09333,0,0,-6.374,1,0.144,148.029,0.231,4,1,0.221,0.329,0.682,0,0.19,0.0526,0.162
through the late night,1Ci4wASMY4xtKVMeHA6Sd5,71,16/9/16,hit,286.23574,5,0.506,-1.218,0,0.562,127.051,0.449,4,1,0.36,0.744,0.589,0,0.119,0.0359,0.242
Everyday,6yL2kTsdVwYnGwPkKGtMd5,74,20/5/16,hit,194.84,7,0.698,-4.387,0,0.63,131.005,0.391,4,1,0.0152,0.637,0.733,0,0.162,0.0553,0.432
Controlla,3O8NlPh2LByMU9lSRSHedm,75,6/5/16,hit,245.22667,10,0.364,-11.066,0,0.5,92.326,0.149,4,0.976,0.0873,0.545,0.478,0,0.114,0.287,0.317
I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt,71,24/11/16,hit,269.18667,0,0.348,-5.946,0,0.557,92.99,0.518,4,1,0.426,0.773,0.819,0,0.0679,0.118,0.585
Send My Love (To Your New Lover),4BHzQ9C00ceJxfG16AlNWb,72,24/6/16,hit,223.08,6,0.683,-8.39,0,0.632,164.023,0.12,4,1,0.0415,0.69,0.524,3.16E-06,0.17,0.103,0.562
Too Good,3BtuIIrQlkujKPuWF2B85z,75,6/5/16,hit,263.37333,4,0.285,-7.811,0,0.332,117.974,0.87,4,1,0.0662,0.82,0.641,5.07E-05,0.102,0.116,0.395
G.O.A.T.,0hUepWE4GoMwtKgU8vE617,70,9/9/16,hit,184.90535,7,0.356,-6.96,1,0.531,135.014,0.339,4,1,0.0232,0.467,0.636,0,0.138,0.201,0.419
All I Ask,1wMALZpuqAy7amQsFBWQ8m,71,24/6/16,hit,271.8,4,0.654,-5.473,1,0.597,141.961,0.114,4,0.957,0.882,0.587,0.283,0,0.149,0.0279,0.343
Bad Intentions,5W3UniuRMkHHIpaiQo1hAW,71,18/3/16,hit,245.72286,11,0.401,-5.175,0,0.463,123.994,0.602,4,1,0.248,0.743,0.72,0,0.096,0.0865,0.431
Hello,4sPmO7WMQUAf45kwMOtONw,72,24/6/16,hit,295.49333,5,0.369,-6.095,0,0.544,157.966,0.02,4,0.975,0.336,0.481,0.451,0,0.0872,0.0347,0.289
Be Alright,6f5TuB9WtbA1g49A4DcMQ4,74,20/5/16,hit,179.29333,1,0.432,-7.667,0,0.541,108.801,0.469,4,1,0.169,0.813,0.456,2.85E-06,0.105,0.0685,0.587
Yamborghini High,2rqUblDWJKlMVwh9uJc0Vv,71,29/1/16,hit,302.00422,7,0.82,-6.299,1,0.782,137.767,0.45,4,1,0.0283,0.838,0.765,1.50E-05,0.0779,0.28,0.635
Me Vas a Extrañar,2yS8aYWXEWJ1NlZ7VPDroT,74,5/2/16,hit,176.8,8,0.553,-5.379,1,0.595,144.942,0.658,3,0.983,0.581,0.756,0.526,1.08E-05,0.0875,0.0408,0.94
All Night (feat. Knox Fortune),60xaS8mYBKUW4VQQ666N0T,71,27/5/16,hit,141.54236,2,0.452,-5.729,1,0.456,111.921,0.679,4,1,0.0358,0.704,0.777,0,0.151,0.195,0.392
Panda,275a9yzwGB6ncAW4SxY7q3,71,26/2/16,hit,247.86667,10,0.465,-5.522,0,0.503,145.22,0.151,4,0.968,0.0235,0.72,0.748,0,0.369,0.393,0.246
Immortal,6AGON2BGdPmPMJGiiNuuwl,70,9/12/16,hit,201.66667,11,0.153,-10.668,1,0.274,91.634,0.076,4,1,0.435,0.713,0.419,2.87E-06,0.126,0.356,0.253
Feel Invincible,0i8JFpqe9cKwnrcvoNgl1L,72,5/8/16,hit,229.93333,5,0.004,-3.777,0,0.268,126.025,0.871,4,0.952,0.00045,0.603,0.886,0,0.26,0.0837,0.395
Push It,6p5zh0HCAeE5WkWAxSxjeg,70,1/4/16,hit,154.74667,5,0.261,-9.672,0,0.342,116.98,0.566,4,1,0.0321,0.617,0.534,6.88E-06,0.19,0.146,0.469
The Greatest,7xHWNBFm6ObGEQPaUxHuKO,77,21/10/16,hit,210.22667,1,0.039,-6.127,1,0.18,191.944,0.256,4,1,0.0102,0.668,0.725,0.000479,0.0561,0.266,0.729
How Could You Leave Us,10bt2wAkFgCWRCEOyAyWT9,71,22/4/16,hit,322.58667,10,0.36,-7.777,0,0.577,82.141,0.191,4,0.966,0.496,0.503,0.695,0,0.0966,0.743,0.102
Toothbrush,7ciLq0Cip0yxiz6KANrOUq,74,18/11/16,hit,231.81333,7,0.305,-5.795,1,0.424,105.006,0.099,4,1,0.133,0.558,0.801,0,0.392,0.131,0.831
When I'm Down,556l9P7WVZVyYUBjT1YFTT,70,21/10/16,hit,164.68086,7,0.554,-4.058,1,0.689,93.986,0.628,4,1,0.209,0.827,0.769,9.54E-05,0.091,0.126,0.491
Where You Are,2bwSCIuNtVrQPVddCi8sOW,70,18/11/16,hit,210.32,4,0.579,-9.279,1,0.517,118.037,0.646,4,0.722,0.709,0.629,0.652,0,0.172,0.191,0.716
Let Me Love You,5AKlnLpP3WLwZseNbjquND,73,20/5/16,hit,223.85333,2,0.025,-8.363,1,0.289,102.704,0.022,3,1,0.0295,0.528,0.435,0,0.243,0.129,0.0781
