name,id,popularity,release_date,hit_miss,duration,key,key_confidence,loudness,mode,mode_confidence,tempo,tempo_confidence,time_signature,time_signature_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Tu Ibadat,2IACKiWuDVLtqZP0RyiHYW,0,23/9/16,miss,242.09374,7,0.653,-8.376,1,0.729,90.036,0.166,4,0.974,0.186,0.635,0.515,3.44E-06,0.711,0.0296,0.254
Bepanhaa Tum Ko Chahe,2LEc7x6nJzpzr07Iogqpf8,0,22/7/16,miss,284.37315,10,0.314,-5.654,1,0.482,120.002,0.681,4,1,0.527,0.633,0.671,0,0.079,0.0315,0.544
Yebe Mo Bina,2N4nas6vaw6cuLZeVeD4CB,0,26/12/16,miss,314.85596,8,0.552,-4.115,0,0.495,173.855,0.428,4,0.97,0.442,0.435,0.844,5.67E-06,0.124,0.0698,0.536
Bindaas - Rock Mix,2YMCJSK0SBb3OZqMGQNxnw,2,13/5/16,miss,171.93746,8,0.408,-3.613,1,0.485,120.015,0.626,4,1,0.0359,0.719,0.652,0.000138,0.132,0.0278,0.395
Markat,2ZnuVSRTKKUAD1LtFfYVAy,0,17/10/16,miss,193.96186,1,0.186,-3.17,1,0.323,129.996,0.717,4,1,0.238,0.73,0.925,0,0.127,0.138,0.961
De Varane Kummatti,2gY6tlVwbBQXnznFY4S7bg,0,10/2/16,miss,176.63955,0,0.152,-4.998,1,0.348,119.955,0.298,4,1,0.0826,0.837,0.746,0,0.102,0.13,0.958
Aasai Kadhal Aaruyirae,2j79TPrZrneViiZkKTrC6L,6,18/4/16,miss,292.21868,11,0,-5.457,0,0.268,74.736,0.192,4,0.941,0.8,0.253,0.568,0.000149,0.127,0.0412,0.226
Bindaas - Theme Music,2kbgWl1nr8vmk7rragCj0g,0,13/5/16,miss,174.27243,10,0.802,-6.656,1,0.673,107.999,0.546,4,1,0.0586,0.674,0.499,0.873,0.108,0.0269,0.335
Oh My Baby - Version 2,2teTEauwADtzupIKtowsHO,3,3/9/16,miss,262.66608,0,0.632,-5.403,0,0.649,75.034,0.317,3,0.974,0.618,0.62,0.49,0,0.35,0.0307,0.594
Naan Maati Konden,30ymNSV9O4RD3XV24dVOwj,24,23/1/16,miss,185.83773,4,0.663,-7.548,0,0.695,106.972,0.946,4,1,0.621,0.866,0.557,0.00696,0.273,0.0363,0.716
Maya Maya Netruen,34WZOtWt70gYFfZaGYw5bL,0,19/8/16,miss,214.77048,8,0.578,-12.563,0,0.427,88.007,0.216,4,1,0.457,0.79,0.393,2.08E-06,0.184,0.234,0.648
Paayum Puli,39JnyUuQPZxWwQHhTYXUV2,0,10/11/16,miss,235.92,1,0.157,-5.818,1,0.319,78.083,0.118,4,0.947,0.336,0.739,0.901,3.36E-06,0.361,0.335,0.667
Main Teri Yaadon Mein,3FuwDq37mln4Z1r4v6wWkL,19,7/1/16,miss,256,0,0.607,-4.223,1,0.623,128.92,0.845,4,1,0.0252,0.663,0.811,0,0.156,0.0314,0.472
Mein Amritsar bol Reha,3KaEydMevd2OPKj4LMQqMU,1,19/4/16,miss,198.87098,8,0.468,-2.766,1,0.449,107.934,0.871,4,1,0.0586,0.644,0.9,4.55E-06,0.453,0.0825,0.639
Ishq Ishq,3M7qXotCMPAmUQkWC3Q8Im,1,15/9/16,miss,204.5,10,0.001,-3.578,0,0.222,119.645,0.204,4,0.727,0.181,0.488,0.935,0,0.143,0.191,0.588
Dehadhin,3at02DR2y7yzLk9mSxS6PS,0,3/2/16,miss,280.79338,2,0.771,-5.475,1,0.705,135.277,0.133,3,0.9,0.456,0.248,0.508,4.22E-05,0.0855,0.0342,0.263
Yeh Wadiyan Doodiyan Kohre Ki,41gyAqi2Vcxn4mUbp35Tbp,9,8/9/16,miss,31.57469,2,0.025,-10.03,1,0.421,80.753,0.083,1,0.7,0.551,0.34,0.279,0,0.0737,0.0391,0.401
Dhoyi Ke Nau Mahina Rajau,48lEV6Rf0IFah4xkPKzfcc,0,13/9/16,miss,206.43315,10,0.464,-5.234,1,0.552,100.056,0.398,4,1,0.538,0.718,0.884,3.63E-06,0.393,0.0764,0.964
Hum Bhole Ke Bhola Hamaar Ba,4Fi7ygnxRVfl3CFZ1Sbmyj,0,17/6/16,miss,323.09941,10,0.212,-3.564,0,0.33,173.854,0.113,4,1,0.81,0.623,0.904,0.0149,0.0666,0.132,0.866
Janaan,4GFmCQMFKAeECO0s0skd5M,30,4/8/16,miss,183.82195,3,0.662,-6.535,1,0.704,84.608,0.169,4,0.992,0.394,0.439,0.652,1.44E-05,0.102,0.0438,0.468
Swayam Marannu,4GdcsNW0dvKk10u48gDWdv,0,28/1/16,miss,270.60245,0,0.546,-11.261,1,0.577,109.841,0.736,4,1,0.215,0.698,0.407,0.0366,0.356,0.0306,0.539
Ajanabi Shehar,4Hm5db2y3y2L8DCfJzemGN,0,21/12/16,miss,243.8615,4,0.736,-6.123,1,0.55,143.72,0.155,4,1,0.682,0.45,0.511,0,0.335,0.031,0.154
Man Ja Ve Man Ja,4LsNeotZQ3Yn7Fahe0skaN,0,22/6/16,miss,272.2185,6,0.767,-1.594,1,0.528,163.924,0.575,4,1,0.337,0.76,0.915,0.00215,0.0741,0.214,0.662
Royi,4MiRKvg1Ki8Ys1Ne5c3l0m,0,26/10/16,miss,338.76807,4,0.552,-2.106,0,0.434,111.034,0.818,4,1,0.163,0.73,0.711,0.00026,0.241,0.0282,0.217
Pazhaya Soru,4PAAmb2Ulr5BlEfJNSPefY,26,26/3/16,miss,281.88,7,0.772,-6.571,0,0.638,150.03,0.45,3,0.994,0.406,0.596,0.569,0,0.119,0.0305,0.63
Hura Hura,4XZVvRp2H7Bquun1HzFU21,6,9/9/16,miss,282.88,0,0.045,-9.718,1,0.167,114.901,0.52,1,0.972,0.401,0.585,0.419,3.42E-05,0.386,0.0291,0.31
Deewani Duniya Hai (Ganpati Song),4dCmL6hecMhs0DGy70GNZj,0,29/9/16,miss,257.15859,9,0.646,-4.706,1,0.271,80.021,0.24,4,1,0.367,0.538,0.953,0,0.147,0.149,0.639
Sirimalle Puvva,4kqCcWT7b0B6wuF9NQ3oV7,0,15/4/16,miss,148.04998,7,0.562,-11.416,1,0.635,91.972,0.575,4,0.968,0.554,0.743,0.444,2.55E-05,0.541,0.0955,0.552
Yaad Che Aankhon Maa,4lj6W5dVzXfZkWwdXHM1XC,0,12/10/16,miss,371.8966,6,0.423,-7.122,1,0.517,129.823,0.422,4,0.889,0.646,0.404,0.724,0,0.156,0.0403,0.748
Vidhi Baraha,4m6EwmKKD4t8M5QJtiIZYK,0,3/10/16,miss,262.22694,1,0,-8.472,1,0.183,148.794,0.15,4,0.691,0.467,0.428,0.595,0,0.112,0.0572,0.429
Vellai Kanavu,4y0nwFt3jXGDLsAYrV8nPd,21,29/12/16,miss,284.86295,8,0.304,-10.64,1,0.449,99.915,0.293,4,0.998,0.732,0.566,0.411,0.000542,0.099,0.0245,0.24
Preethi Endarenu,4zQF7dMtWCvBI3ZslCts9l,0,10/6/16,miss,110.49279,1,0.466,-8.864,1,0.512,151.17,0.142,4,0.867,0.833,0.411,0.228,0,0.122,0.0291,0.337
Kail Na Jala Pyar Kehu Se,50U76owEMwL8GVXNte3IUD,0,3/6/16,miss,202.27642,10,0.368,-2.66,0,0.411,175.833,0.083,4,1,0.2,0.593,0.84,0,0.365,0.0607,0.851
Patel Ni Patelai - Version 2,51rzzVMsr66KQqqpvpAv57,0,12/10/16,miss,85.13596,1,0.361,-19.042,0,0.453,148.995,0.086,5,0.395,0.99,0.408,0.056,0.00193,0.0982,0.0883,0.306
"I Love You for What You Are (From ""Aap Ki Khatir"")",5E7braGcMfaNz2y3gIMiMF,9,3/5/16,miss,376.45333,5,0.805,-10.213,0,0.7,111.012,0.827,4,1,0.0108,0.939,0.537,0.0003,0.358,0.0404,0.821
Manogatham Bhavan,5IyrU2JXKXGDjJb5QRVuMc,12,1/7/16,miss,265.39202,2,0.655,-7.854,1,0.752,127.777,0.674,4,0.912,0.739,0.53,0.549,0,0.37,0.0286,0.349
My Daddy,5dTxYlamDDvn5Kb9kxnfbR,6,5/8/16,miss,253.9,2,0.448,-5.334,1,0.176,144.916,0.704,4,1,0.106,0.771,0.941,0,0.0798,0.227,0.416
Pavam Intha Poonai - Pathos,5jX4XsL6QyjHB6F267Wsqz,0,12/8/16,miss,86.18912,0,1,-10.588,0,0.797,134.692,0,3,0.964,0.295,0.501,0.251,9.75E-06,0.192,0.0332,0.142
Moned Ninna,5pnCjiSLGaXCbvu9WxwnkD,0,3/9/16,miss,246.57415,0,0.396,-5.16,0,0.416,114.962,0.252,4,1,0.612,0.613,0.926,6.33E-06,0.748,0.552,0.877
Acid Winds,5thGNugEQNVOwx1S08yTn4,4,28/6/16,miss,214.97828,0,0.418,-10.458,0,0.538,100.116,0.41,4,1,0.521,0.371,0.421,0.941,0.129,0.0361,0.0394
Tum Mere,5wK7NRhIJbmLtRrjjjkDfV,8,6/4/16,miss,203.99887,3,0.542,-4.532,1,0.794,99.934,0.394,4,0.972,0.408,0.492,0.554,0,0.139,0.0266,0.144
Andha Pulla Manasa - Karaoke Version,64OZmadlngA8uO5EzUgWnW,0,28/9/16,miss,274.56544,5,0.133,-7.655,0,0.207,157.454,0.331,3,1,0.261,0.457,0.654,0.853,0.112,0.0415,0.29
Wajah Tum Ho,64qMEt2VCV4jcWizUF3icX,21,5/11/16,miss,294.92966,7,0.728,-8.37,0,0.679,138.034,0.282,4,1,0.905,0.641,0.545,0.0105,0.119,0.0347,0.335
Mari Nijara Su,6GeOa9h47PN6m1ngGw8icl,0,6/10/16,miss,226.24998,9,0.479,-7.437,1,0.447,148.115,0.343,4,1,0.372,0.475,0.844,9.42E-05,0.306,0.315,0.801
Chella Kutti,6XWQQoeqyHcQ0NlXt0iVDM,34,21/3/16,miss,290.60263,0,0.632,-5.647,1,0.796,140.047,0.414,4,1,0.353,0.692,0.737,9.35E-05,0.0915,0.102,0.679
Kanamachhi Bho Bho Jake Pabi,6jjM8XkkJ8dWCtjeGQpgZ9,0,25/10/16,miss,227.80082,2,0.663,-5.738,1,0.679,107.987,0.774,4,1,0.484,0.708,0.753,0,0.0893,0.0337,0.587
Kaun Khada,6kAyV1puBvY3kF7EbCiTqG,0,31/3/16,miss,170.12499,10,0.509,-7.711,0,0.439,131.272,0.184,3,0.686,0.317,0.524,0.979,0.00221,0.131,0.101,0.267
Oh Maya,6klhvTG96z00BnizFS3Vjc,27,2/8/16,miss,305.36,7,0.546,-3.701,0,0.606,103.998,0.438,4,0.979,0.522,0.497,0.706,0.000136,0.0948,0.0295,0.409
"Yaenadi (From ""Adhagappattathu Magajanangalay"")",6v2kdsoQiRAcjUSndjcKxj,23,29/4/16,miss,264.07601,11,0.309,-2.639,0,0.497,104.928,0.752,3,1,0.358,0.557,0.843,0,0.253,0.0336,0.56
"Ela Pulayelo (From ""Olappeeppi"")",6yGB0iQO47TruplFslVj9p,0,3/9/16,miss,195.09215,9,0.507,-10.765,1,0.161,157.543,0.461,3,0.967,0.314,0.796,0.508,0.0416,0.112,0.0875,0.744
Sapnaao Sacha Thashe,71cfPpgN3LEiNXdFUBYntc,0,18/1/16,miss,259.29229,5,0.769,-9.563,1,0.66,153.851,0.42,4,0.985,0.613,0.587,0.451,8.75E-06,0.323,0.0364,0.432
Rabba Tuiyon Das,75kNycpLASV0IpeV0kcyIQ,0,9/2/16,miss,200.44481,11,0.381,-2.605,1,0.512,119.352,0.406,1,1,0.457,0.466,0.538,0,0.156,0.0348,0.451
Janaan - Reprise,7AILbhP3vlJKl3HbzC8zaD,18,4/8/16,miss,130.77197,0,0.395,-9.612,1,0.47,119.848,0.2,4,0.638,0.953,0.447,0.282,0.00391,0.135,0.0311,0.0465
Challa,7BwNgp40KzvWhijNwduRqo,0,21/7/16,miss,333.67315,9,0.615,-4.9,1,0.511,100.085,0.222,4,1,0.783,0.648,0.787,0,0.323,0.114,0.912
Kyun Re,7LFh5gyYBzVbffBZducUk3,3,30/5/16,miss,201.82785,7,0.562,-17.531,0,0.765,149.861,0.03,4,0.961,0.836,0.607,0.168,0.00384,0.078,0.0333,0.271
Koi Aaye,7aXyo8oUAmM8hE8C5Mcq9x,0,9/2/16,miss,306.039,3,0.699,-6.435,1,0.873,92.517,0.035,3,0.984,0.464,0.605,0.45,1.77E-06,0.0888,0.0248,0.228
Agnikunjondru,7cLZgixGEsVmpGdlGe6fSC,28,28/1/16,miss,199.39995,0,0.123,-3.66,0,0.367,149.951,0.445,5,1,0.133,0.521,0.923,2.39E-05,0.178,0.118,0.336
Angaliya Pangaliya,7laqP9VLl0pJcmi146Fc9Z,1,22/1/16,miss,242.85751,2,0.333,-10.315,0,0.416,172.498,0.666,3,1,0.238,0.534,0.746,2.60E-05,0.605,0.0596,0.697
Sundari Koinnya,7pMo7CaMM7bD4gnvDg9oDK,0,28/11/16,miss,283.22626,0,0.629,-11.588,1,0.741,172.211,0.119,1,0.979,0.237,0.439,0.196,0.000204,0.0922,0.0289,0.453
Rajj Rajj Ke,7rJjd4aRleBlCWdPdBMy30,4,16/8/16,miss,260.1,4,0.789,-5.818,0,0.646,133.032,0.672,4,0.988,0.25,0.723,0.734,0,0.118,0.0395,0.46
Congratulations,3a1lNhkSLSkpJE4MSHpDu9,86,9/12/16,hit,220.29333,6,0.639,-4.183,1,0.633,123.146,0.414,4,0.862,0.215,0.63,0.804,0,0.253,0.0363,0.492
goosebumps,6gBFPUFcJLzWGx4lenP6h2,85,16/9/16,hit,243.83692,7,0.064,-3.37,1,0.294,130.049,0.687,4,0.931,0.0847,0.841,0.728,0,0.149,0.0484,0.43
Closer,7BKLCZ1jbUBVqRi2FVlTVw,86,29/7/16,hit,244.96,8,0.643,-5.599,1,0.618,95.01,0.314,4,1,0.414,0.748,0.524,0,0.111,0.0338,0.661
What Ifs,7zVCrzzEJU7u24sbJPXA5W,78,2/12/16,hit,188.25333,10,0.182,-4.603,1,0.371,125.976,0.299,4,1,0.00898,0.612,0.799,0,0.172,0.0275,0.687
White Iverson,6eT7xZZlB2mwyzJ2sUKG6w,82,9/12/16,hit,256.53333,7,0.638,-7.678,1,0.638,130.098,0.424,4,0.922,0.233,0.675,0.562,0,0.0816,0.0352,0.309
Redbone,0wXuerDYiBnERgIpbb3JBR,82,2/12/16,hit,326.93333,1,0.244,-11.174,1,0.371,160.143,0.25,4,0.973,0.167,0.743,0.347,0.00951,0.103,0.121,0.572
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,84,28/10/16,hit,211.46667,10,0.186,-7.398,1,0.349,85.043,0.094,4,0.384,0.695,0.358,0.557,0,0.0902,0.059,0.494
Go Flex,5yuShbu70mtHXY0yLzCQLQ,82,9/12/16,hit,179.61333,5,0.751,-8.185,1,0.598,81.967,0.353,4,0.76,0.228,0.665,0.498,0,0.0757,0.0831,0.127
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,84,17/11/16,hit,206.69333,1,0.372,-4.961,1,0.449,134.066,0.708,4,0.982,0.013,0.853,0.56,0,0.0944,0.0406,0.86
Night Shift,0bPnT6i9H1p8Vd85GS6Z7I,77,13/5/16,hit,172.25333,7,0.309,-3.561,1,0.451,96.016,0.095,4,1,0.113,0.628,0.757,0,0.263,0.0281,0.727
Money Longer,0B8QzDH7YWih85V5SEMnyJ,78,27/5/16,hit,198.94422,5,0.001,-7.817,0,0.277,136.173,0.357,4,1,0.0541,0.795,0.568,0,0.108,0.142,0.478
Starboy,7MXVkk9YMctZqd1Srtv4MB,84,25/11/16,hit,230.45333,7,0.613,-7.015,1,0.608,186.005,0.342,4,1,0.141,0.678,0.588,6.35E-06,0.137,0.276,0.486
Six Feet Under,2VlLbhGLVJgdOW7kKdWWFc,81,17/11/16,hit,189.61333,11,0.807,-12.693,0,0.751,67.448,0.055,4,0.959,0.815,0.583,0.301,0.000232,0.0799,0.0391,0.176
Starving,4Ce37cRWvM1vIGGynKcs22,82,22/7/16,hit,181.88,4,0.3,-4.238,1,0.406,99.989,0.201,4,1,0.378,0.729,0.615,0,0.105,0.0647,0.508
Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,76,13/5/16,hit,205.2,9,0.392,-4.252,1,0.416,116.005,0.926,4,1,0.0617,0.594,0.824,0,0.0861,0.0458,0.671
Into You,2meEiZKWkiN28gITzFwQo5,83,20/5/16,hit,244.45333,9,0.262,-5.95,1,0.37,107.853,0.419,4,1,0.0162,0.623,0.734,1.90E-06,0.145,0.107,0.372
"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,82,25/3/16,hit,251.03374,6,0.769,-13.4,0,0.69,92.6,0.17,4,1,0.687,0.492,0.275,0,0.101,0.3,0.18
All Time Low,0SuLAslEMFZAXf0SwY7syi,75,10/6/16,hit,217.6034,0,0.42,-4.259,1,0.657,89.779,0.092,4,0.993,0.0508,0.584,0.569,0,0.0924,0.166,0.501
Death Of A Bachelor,1BECwm5qkaBwlbfo4kpYx8,78,15/1/16,hit,203.50667,0,0.351,-5.527,1,0.459,139.256,0.274,4,0.758,0.0137,0.462,0.538,0,0.429,0.059,0.405
Chill Bill,5uDASfU19gDxSjW8cnCaBp,79,17/6/16,hit,177.18417,6,0.3,-10.028,1,0.442,108.034,0.582,4,0.984,0.0312,0.886,0.427,0.00099,0.0906,0.145,0.23
Alone,12mGwph2YzDIlChtq3EdXP,82,13/5/16,hit,273.80281,2,0.13,-3.74,1,0.522,142.011,0.872,4,1,0.0244,0.636,0.953,0.0164,0.108,0.0353,0.397
Nights,7eqoqGkKwgOaWNNHx90uEZ,77,20/8/16,hit,307.1512,5,0.315,-9.362,0,0.447,89.815,0.063,4,1,0.42,0.466,0.548,1.01E-06,0.113,0.118,0.423
Side To Side,1pKeFVVUOPjFsOABub0OaV,82,20/5/16,hit,226.16,6,0.569,-5.84,0,0.609,159.174,0.386,4,1,0.0513,0.65,0.736,0,0.235,0.229,0.612
Heathens,6i0V12jOa3mr6uu4WYhUBr,82,16/6/16,hit,195.92,4,0.67,-9.348,0,0.628,90.024,0.681,4,1,0.0841,0.732,0.396,3.58E-05,0.105,0.0286,0.548
Head Over Boots,4ly1QBXEwYoDmje9rmEgC4,74,13/5/16,hit,202.34667,7,0.597,-4.457,1,0.676,108.016,0.55,4,1,0.0661,0.557,0.676,0,0.0871,0.027,0.678
iSpy (feat. Lil Yachty),2EEeOnHehOozLq4aS0n6SL,78,2/12/16,hit,253.10676,7,0.558,-6.745,1,0.594,75.016,0.06,4,1,0.378,0.746,0.653,0,0.229,0.289,0.672
PRBLMS,4AtZRwSR8BOTTQg5ihSggt,75,18/11/16,hit,246.77333,9,0.622,-4.574,1,0.517,68.58,0.182,5,0.831,0.0307,0.417,0.58,1.45E-06,0.179,0.207,0.139
